"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  2.10    ,  0.20  
MgO     ,  6.85    ,  0.41  
Al2O3   ,  8.36    ,  0.47  
SiO2    , 45.00    ,  0.96  
P2O5    ,  0.37    ,  0.09  
SO3     ,  2.67    ,  0.15  
Cl      ,  1.22    ,  0.07  
K2O     ,  0.54    ,  0.05  
CaO     ,  6.33    ,  0.32  
TiO2    ,  1.23    ,  0.08  
Cr2O3   ,  0.28    ,  0.06  
MnO     ,  0.20    ,  0.04  
FeO     , 24.45    ,  0.51  
Ni      ,  0.0643  ,  0.0065
Zn      ,  0.0697  ,  0.0045
Br      ,  0.0087  ,  0.0015
