"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  2.32    ,  0.34  
MgO     ,  6.61    ,  0.25  
Al2O3   ,  8.37    ,  0.28  
SiO2    , 45.68    ,  0.64  
P2O5    ,  0.29    ,  0.09  
SO3     ,  2.18    ,  0.12  
Cl      ,  1.22    ,  0.07  
K2O     ,  0.63    ,  0.05  
CaO     ,  6.43    ,  0.14  
TiO2    ,  1.36    ,  0.08  
Cr2O3   ,  0.29    ,  0.06  
MnO     ,  0.32    ,  0.04  
FeO     , 23.79    ,  0.26  
Ni      ,  0.0556  ,  0.0070
Zn      ,  0.0661  ,  0.0050
Br      ,  0.0144  ,  0.0020
