"Target: Cumberland_A_adjusted_Target1, Contains DAT files: APB_422635407ESC02830060082_______M2.DAT"
 7445.7  ,      32
 7470.1  ,      26
 7494.5  ,      23
 7519.0  ,      16
 7543.4  ,      24
 7567.8  ,      20
 7592.2  ,      13
 7616.7  ,       8
 7641.1  ,      15
 7665.5  ,       6
 7689.9  ,       5
 7714.3  ,       9
 7738.8  ,       8
 7763.2  ,       8
 7787.6  ,      14
 7812.0  ,       8
 7836.5  ,       5
 7860.9  ,       9
 7885.3  ,      12
 7909.7  ,      15
 7934.2  ,       4
 7958.6  ,       7
 7983.0  ,       7
 8007.4  ,       7
 8031.9  ,      10
 8056.3  ,       9
 8080.7  ,       9
 8105.1  ,       9
 8129.6  ,      10
 8154.0  ,       6
 8178.4  ,       8
 8202.8  ,      13
 8227.3  ,      12
 8251.7  ,      14
 8276.1  ,       8
 8300.5  ,       5
 8325.0  ,      11
 8349.4  ,      11
 8373.8  ,       9
 8398.2  ,      18
 8422.6  ,      11
 8447.1  ,      15
 8471.5  ,       8
 8495.9  ,      17
 8520.3  ,      31
 8544.8  ,      24
 8569.2  ,      37
 8593.6  ,      48
 8618.0  ,      43
 8642.5  ,      36
 8666.9  ,      38
 8691.3  ,      24
 8715.7  ,      28
 8740.2  ,      29
 8764.6  ,      23
 8789.0  ,      10
 8813.4  ,      12
 8837.9  ,      12
 8862.3  ,       9
 8886.7  ,      11
 8911.1  ,       7
 8935.6  ,      12
 8960.0  ,       5
 8984.4  ,       5
 9008.8  ,       8
 9033.3  ,       7
 9057.7  ,      11
 9082.1  ,      13
 9106.5  ,       9
 9130.9  ,      15
 9155.4  ,      10
 9179.8  ,       7
 9204.2  ,      11
 9228.6  ,       5
 9253.1  ,       4
 9277.5  ,       8
 9301.9  ,       8
 9326.3  ,      13
 9350.8  ,      10
 9375.2  ,       5
 9399.6  ,       7
 9424.0  ,      10
 9448.5  ,       7
 9472.9  ,      10
 9497.3  ,       8
 9521.7  ,      13
 9546.2  ,       9
 9570.6  ,      14
 9595.0  ,      17
 9619.4  ,      13
 9643.9  ,      12
 9668.3  ,      16
 9692.7  ,      10
 9717.1  ,      11
 9741.6  ,      10
 9766.0  ,       8
 9790.4  ,      10
 9814.8  ,      11
 9839.2  ,      14
 9863.7  ,      14
 9888.1  ,      11
 9912.5  ,      10
 9936.9  ,       9
 9961.4  ,       9
 9985.8  ,      11
10010.2  ,       9
10034.6  ,      12
10059.1  ,       5
10083.5  ,       4
10107.9  ,      10
10132.3  ,       7
10156.8  ,       6
10181.2  ,       8
10205.6  ,       5
10230.0  ,      10
10254.5  ,       8
10278.9  ,       4
10303.3  ,       8
10327.7  ,      13
10352.2  ,       7
10376.6  ,       6
10401.0  ,       8
10425.4  ,       3
10449.9  ,       6
10474.3  ,       4
10498.7  ,       9
10523.1  ,       5
10547.5  ,      10
10572.0  ,       8
10596.4  ,       4
10620.8  ,       7
10645.2  ,       9
10669.7  ,      10
10694.1  ,      12
10718.5  ,       8
10742.9  ,       2
10767.4  ,       8
10791.8  ,       6
10816.2  ,       3
10840.6  ,       6
10865.1  ,       6
10889.5  ,       7
10913.9  ,       6
10938.3  ,       8
10962.8  ,      11
10987.2  ,       7
11011.6  ,       7
11036.0  ,      11
11060.5  ,      10
11084.9  ,       5
11109.3  ,      11
11133.7  ,       4
11158.2  ,       7
11182.6  ,       8
11207.0  ,       9
11231.4  ,       3
11255.8  ,      11
11280.3  ,       7
11304.7  ,      11
11329.1  ,       9
11353.5  ,       9
11378.0  ,      17
11402.4  ,       5
11426.8  ,       9
11451.2  ,      13
11475.7  ,       4
11500.1  ,      12
11524.5  ,       3
11548.9  ,      12
11573.4  ,      14
11597.8  ,      12
11622.2  ,      22
11646.6  ,      11
11671.1  ,       7
11695.5  ,      15
11719.9  ,      12
11744.3  ,      13
11768.8  ,      15
11793.2  ,      18
11817.6  ,      14
11842.0  ,      11
11866.5  ,      19
11890.9  ,      24
11915.3  ,      18
11939.7  ,      15
11964.1  ,      25
11988.6  ,      20
12013.0  ,      20
12037.4  ,      23
12061.8  ,      25
12086.3  ,      20
12110.7  ,      16
12135.1  ,      18
12159.5  ,      17
12184.0  ,      12
12208.4  ,      22
12232.8  ,      11
12257.2  ,      13
12281.7  ,      14
12306.1  ,      13
12330.5  ,      14
12354.9  ,       8
12379.4  ,       8
12403.8  ,      15
12428.2  ,      12
12452.6  ,       9
12477.1  ,       9
12501.5  ,      12
12525.9  ,       4
12550.3  ,       9
12574.8  ,      11
12599.2  ,      15
12623.6  ,       9
12648.0  ,      16
12672.4  ,      14
12696.9  ,      17
12721.3  ,      17
12745.7  ,      10
12770.1  ,      16
12794.6  ,       9
12819.0  ,      20
12843.4  ,      16
12867.8  ,      22
12892.3  ,      10
12916.7  ,      17
12941.1  ,      14
12965.5  ,      17
12990.0  ,      13
13014.4  ,      22
13038.8  ,      34
13063.2  ,      25
13087.7  ,      28
13112.1  ,      34
13136.5  ,      35
13160.9  ,      36
13185.4  ,      41
13209.8  ,      53
13234.2  ,      47
13258.6  ,      58
13283.1  ,      52
13307.5  ,      69
13331.9  ,      57
13356.3  ,      77
13380.7  ,      70
13405.2  ,      80
13429.6  ,      81
13454.0  ,      79
13478.4  ,     106
13502.9  ,      94
13527.3  ,      88
13551.7  ,      69
13576.1  ,      83
13600.6  ,      77
13625.0  ,      69
13649.4  ,      65
13673.8  ,      80
13698.3  ,      62
13722.7  ,      62
13747.1  ,      58
13771.5  ,      41
13796.0  ,      44
13820.4  ,      53
13844.8  ,      35
13869.2  ,      35
13893.7  ,      28
13918.1  ,      42
13942.5  ,      27
13966.9  ,      36
13991.4  ,      41
14015.8  ,      64
14040.2  ,      44
14064.6  ,      55
14089.0  ,      81
14113.5  ,      76
14137.9  ,      80
14162.3  ,      74
14186.7  ,      95
14211.2  ,     110
14235.6  ,     103
14260.0  ,     114
14284.4  ,     126
14308.9  ,     130
14333.3  ,     116
14357.7  ,     109
14382.1  ,      85
14406.6  ,      72
14431.0  ,      49
14455.4  ,      42
14479.8  ,      40
14504.3  ,      19
14528.7  ,      19
14553.1  ,      19
14577.5  ,      10
14602.0  ,      17
14626.4  ,      13
14650.8  ,       6
14675.2  ,      10
14699.7  ,      14
14724.1  ,       8
14748.5  ,       4
14772.9  ,       9
14797.3  ,       5
14821.8  ,       7
14846.2  ,      16
14870.6  ,      11
14895.0  ,      17
14919.5  ,       9
14943.9  ,      15
14968.3  ,       8
14992.7  ,      11
15017.2  ,      14
15041.6  ,      12
15066.0  ,      14
15090.4  ,      10
15114.9  ,      14
15139.3  ,       7
15163.7  ,      18
15188.1  ,      16
15212.6  ,       8
15237.0  ,      16
15261.4  ,      20
15285.8  ,      14
15310.3  ,      12
15334.7  ,      14
15359.1  ,      18
15383.5  ,      24
15408.0  ,      27
15432.4  ,      29
15456.8  ,      31
15481.2  ,      45
15505.6  ,      54
15530.1  ,      68
15554.5  ,      91
15578.9  ,      82
15603.3  ,     123
15627.8  ,     161
15652.2  ,     174
15676.6  ,     215
15701.0  ,     230
15725.5  ,     289
15749.9  ,     253
15774.3  ,     262
15798.7  ,     229
15823.2  ,     220
15847.6  ,     175
15872.0  ,     159
15896.4  ,     127
15920.9  ,     116
15945.3  ,      77
15969.7  ,      70
15994.1  ,      48
16018.6  ,      59
16043.0  ,      51
16067.4  ,      36
16091.8  ,      30
16116.3  ,      38
16140.7  ,      37
16165.1  ,      41
16189.5  ,      46
16213.9  ,      45
16238.4  ,      47
16262.8  ,      42
16287.2  ,      40
16311.6  ,      46
16336.1  ,      38
16360.5  ,      44
16384.9  ,      49
16409.3  ,      41
16433.8  ,      57
16458.2  ,      50
16482.6  ,      56
16507.0  ,      40
