"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.11    ,  0.20  
MgO     ,  9.15    ,  0.25  
Al2O3   ,  7.15    ,  0.29  
SiO2    , 40.10    ,  0.64  
P2O5    ,  0.85    ,  0.07  
SO3     ,  6.13    ,  0.20  
Cl      ,  1.24    ,  0.06  
K2O     ,  1.78    ,  0.06  
CaO     ,  5.45    ,  0.10  
TiO2    ,  1.13    ,  0.05  
Cr2O3   ,  0.47    ,  0.05  
MnO     ,  0.45    ,  0.04  
FeO     , 23.38    ,  0.26  
Ni      ,  0.0448  ,  0.0050
Zn      ,  0.3738  ,  0.0115
Br      ,  0.1079  ,  0.0035
