"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.09    ,  0.20  
MgO     ,  9.18    ,  0.25  
Al2O3   ,  6.83    ,  0.19  
SiO2    , 39.84    ,  0.64  
P2O5    ,  0.90    ,  0.07  
SO3     ,  6.42    ,  0.20  
Cl      ,  1.33    ,  0.06  
K2O     ,  1.71    ,  0.06  
CaO     ,  5.49    ,  0.10  
TiO2    ,  1.02    ,  0.07  
Cr2O3   ,  0.41    ,  0.05  
MnO     ,  0.65    ,  0.04  
FeO     , 23.38    ,  0.26  
Ni      ,  0.0410  ,  0.0050
Zn      ,  0.3584  ,  0.0110
Br      ,  0.1819  ,  0.0055
