"Target: Windjana_Raster2, Contains DAT files: APB_451822650ESC06120311330_______M1.DAT"
 7440.1  ,      27
 7464.5  ,      22
 7488.9  ,      19
 7513.3  ,      29
 7537.7  ,      14
 7562.1  ,       9
 7586.5  ,       8
 7610.9  ,      13
 7635.3  ,      12
 7659.7  ,      14
 7684.1  ,       9
 7708.5  ,      11
 7732.9  ,       8
 7757.3  ,      11
 7781.7  ,      10
 7806.1  ,       5
 7830.5  ,      12
 7854.9  ,       5
 7879.3  ,      10
 7903.7  ,      12
 7928.1  ,      15
 7952.5  ,      18
 7976.9  ,       9
 8001.3  ,      14
 8025.7  ,      18
 8050.2  ,      17
 8074.6  ,      17
 8099.0  ,      18
 8123.4  ,      14
 8147.8  ,      14
 8172.2  ,      15
 8196.6  ,       9
 8221.0  ,      14
 8245.4  ,      18
 8269.8  ,      20
 8294.2  ,       6
 8318.6  ,       8
 8343.0  ,      14
 8367.4  ,      12
 8391.8  ,      11
 8416.2  ,      19
 8440.6  ,      33
 8465.0  ,      52
 8489.4  ,      77
 8513.8  ,     128
 8538.2  ,     172
 8562.6  ,     216
 8587.0  ,     267
 8611.4  ,     281
 8635.8  ,     270
 8660.2  ,     225
 8684.6  ,     199
 8709.1  ,     118
 8733.5  ,      81
 8757.9  ,      55
 8782.3  ,      22
 8806.7  ,      14
 8831.1  ,      19
 8855.5  ,       8
 8879.9  ,       8
 8904.3  ,      10
 8928.7  ,       2
 8953.1  ,      10
 8977.5  ,       8
 9001.9  ,       5
 9026.3  ,      13
 9050.7  ,       9
 9075.1  ,       5
 9099.5  ,       8
 9123.9  ,      11
 9148.3  ,       8
 9172.7  ,       7
 9197.1  ,      10
 9221.5  ,      12
 9245.9  ,      16
 9270.3  ,      11
 9294.7  ,      12
 9319.1  ,       8
 9343.5  ,      17
 9368.0  ,      10
 9392.4  ,      14
 9416.8  ,      22
 9441.2  ,      24
 9465.6  ,      30
 9490.0  ,      36
 9514.4  ,      45
 9538.8  ,      55
 9563.2  ,      59
 9587.6  ,      57
 9612.0  ,      30
 9636.4  ,      35
 9660.8  ,      17
 9685.2  ,      23
 9709.6  ,      13
 9734.0  ,      15
 9758.4  ,      15
 9782.8  ,      17
 9807.2  ,      18
 9831.6  ,      16
 9856.0  ,      12
 9880.4  ,      11
 9904.8  ,      14
 9929.2  ,      18
 9953.6  ,      13
 9978.0  ,       6
10002.4  ,       9
10026.9  ,      14
10051.3  ,       7
10075.7  ,       7
10100.1  ,       5
10124.5  ,       9
10148.9  ,       7
10173.3  ,       8
10197.7  ,       6
10222.1  ,       8
10246.5  ,      12
10270.9  ,       8
10295.3  ,       6
10319.7  ,       7
10344.1  ,       4
10368.5  ,       8
10392.9  ,       8
10417.3  ,       5
10441.7  ,       7
10466.1  ,      11
10490.5  ,       7
10514.9  ,       9
10539.3  ,      12
10563.7  ,       9
10588.1  ,       7
10612.5  ,       7
10636.9  ,       8
10661.3  ,       3
10685.8  ,       6
10710.2  ,       7
10734.6  ,       8
10759.0  ,       2
10783.4  ,       5
10807.8  ,       6
10832.2  ,       8
10856.6  ,       7
10881.0  ,       7
10905.4  ,       6
10929.8  ,      11
10954.2  ,       8
10978.6  ,      13
11003.0  ,      14
11027.4  ,      13
11051.8  ,       6
11076.2  ,       7
11100.6  ,       7
11125.0  ,       6
11149.4  ,       6
11173.8  ,       4
11198.2  ,      10
11222.6  ,      10
11247.0  ,      11
11271.4  ,      14
11295.8  ,      10
11320.2  ,       8
11344.7  ,      10
11369.1  ,      15
11393.5  ,      10
11417.9  ,      12
11442.3  ,      12
11466.7  ,      18
11491.1  ,      15
11515.5  ,      12
11539.9  ,      18
11564.3  ,      12
11588.7  ,      15
11613.1  ,      23
11637.5  ,      23
11661.9  ,      28
11686.3  ,      34
11710.7  ,      50
11735.1  ,      88
11759.5  ,      97
11783.9  ,     131
11808.3  ,     181
11832.7  ,     230
11857.1  ,     303
11881.5  ,     306
11905.9  ,     306
11930.3  ,     294
11954.7  ,     263
11979.1  ,     182
12003.6  ,     146
12028.0  ,     104
12052.4  ,      76
12076.8  ,      53
12101.2  ,      52
12125.6  ,      35
12150.0  ,      27
12174.4  ,      18
12198.8  ,      23
12223.2  ,      15
12247.6  ,      13
12272.0  ,      12
12296.4  ,      11
12320.8  ,       6
12345.2  ,      10
12369.6  ,       7
12394.0  ,       9
12418.4  ,      10
12442.8  ,       9
12467.2  ,       5
12491.6  ,      16
12516.0  ,      15
12540.4  ,       9
12564.8  ,      11
12589.2  ,      11
12613.6  ,      14
12638.1  ,      14
12662.5  ,      10
12686.9  ,      18
12711.3  ,      23
12735.7  ,      20
12760.1  ,      19
12784.5  ,      21
12808.9  ,      18
12833.3  ,      22
12857.7  ,      23
12882.1  ,      15
12906.5  ,      23
12930.9  ,      21
12955.3  ,      21
12979.7  ,      30
13004.1  ,      36
13028.5  ,      19
13052.9  ,      37
13077.3  ,      39
13101.7  ,      47
13126.1  ,      50
13150.5  ,      51
13174.9  ,      67
13199.3  ,     101
13223.7  ,      97
13248.1  ,     130
13272.5  ,     118
13297.0  ,     140
13321.4  ,     122
13345.8  ,     127
13370.2  ,     129
13394.6  ,     140
13419.0  ,     116
13443.4  ,     134
13467.8  ,     125
13492.2  ,     128
13516.6  ,     131
13541.0  ,     119
13565.4  ,     115
13589.8  ,     103
13614.2  ,     114
13638.6  ,      95
13663.0  ,     106
13687.4  ,      79
13711.8  ,      98
13736.2  ,      68
13760.6  ,      70
13785.0  ,      67
13809.4  ,      54
13833.8  ,      49
13858.2  ,      50
13882.6  ,      46
13907.0  ,      45
13931.4  ,      55
13955.9  ,      44
13980.3  ,      55
14004.7  ,      57
14029.1  ,      80
14053.5  ,     101
14077.9  ,      92
14102.3  ,     111
14126.7  ,     125
14151.1  ,     134
14175.5  ,     157
14199.9  ,     190
14224.3  ,     205
14248.7  ,     244
14273.1  ,     229
14297.5  ,     195
14321.9  ,     173
14346.3  ,     166
14370.7  ,     120
14395.1  ,     100
14419.5  ,      61
14443.9  ,      59
14468.3  ,      32
14492.7  ,      19
14517.1  ,      22
14541.5  ,      14
14565.9  ,      22
14590.3  ,      13
14614.8  ,      12
14639.2  ,      13
14663.6  ,      11
14688.0  ,       6
14712.4  ,       9
14736.8  ,      13
14761.2  ,      11
14785.6  ,      10
14810.0  ,      10
14834.4  ,      15
14858.8  ,      15
14883.2  ,      21
14907.6  ,      15
14932.0  ,      17
14956.4  ,      12
14980.8  ,      15
15005.2  ,      17
15029.6  ,       9
15054.0  ,      12
15078.4  ,      20
15102.8  ,      16
15127.2  ,      21
15151.6  ,      19
15176.0  ,      11
15200.4  ,      12
15224.8  ,      22
15249.2  ,      14
15273.7  ,      14
15298.1  ,      23
15322.5  ,      21
15346.9  ,      20
15371.3  ,      26
15395.7  ,      25
15420.1  ,      24
15444.5  ,      35
15468.9  ,      28
15493.3  ,      27
15517.7  ,      34
15542.1  ,      60
15566.5  ,      69
15590.9  ,      71
15615.3  ,     120
15639.7  ,     127
15664.1  ,     151
15688.5  ,     176
15712.9  ,     202
15737.3  ,     197
15761.7  ,     200
15786.1  ,     204
15810.5  ,     190
15834.9  ,     126
15859.3  ,     110
15883.7  ,     113
15908.1  ,      95
15932.6  ,      68
15957.0  ,      64
15981.4  ,      49
16005.8  ,      40
16030.2  ,      45
16054.6  ,      43
16079.0  ,      44
16103.4  ,      47
16127.8  ,      41
16152.2  ,      56
16176.6  ,      54
16201.0  ,      39
16225.4  ,      47
16249.8  ,      53
16274.2  ,      39
16298.6  ,      57
16323.0  ,      51
16347.4  ,      47
16371.8  ,      69
16396.2  ,      64
16420.6  ,      55
16445.0  ,      65
16469.4  ,      55
16493.8  ,      70
16518.2  ,      60
16542.6  ,      49
16567.0  ,      64
16591.5  ,      45
16615.9  ,      56
16640.3  ,      73
16664.7  ,      59
16689.1  ,      57
16713.5  ,      67
16737.9  ,      76
16762.3  ,      84
16786.7  ,      72
16811.1  ,      66
16835.5  ,      99
16859.9  ,      84
16884.3  ,      78
16908.7  ,     118
16933.1  ,     126
16957.5  ,     144
16981.9  ,     142
17006.3  ,     150
17030.7  ,     132
17055.1  ,     156
17079.5  ,     148
17103.9  ,     124
17128.3  ,     142
17152.7  ,     149
17177.1  ,     145
17201.5  ,     151
17225.9  ,     155
17250.4  ,     139
17274.8  ,     157
17299.2  ,     139
17323.6  ,     133
17348.0  ,     114
17372.4  ,      92
17396.8  ,     102
17421.2  ,      76
17445.6  ,      79
17470.0  ,      90
17494.4  ,      78
17518.8  ,      73
17543.2  ,      70
17567.6  ,      67
17592.0  ,      74
17616.4  ,      85
17640.8  ,      84
17665.2  ,      59
17689.6  ,      50
17714.0  ,      63
17738.4  ,      67
17762.8  ,      48
17787.2  ,      46
17811.6  ,      45
17836.0  ,      42
17860.4  ,      40
17884.8  ,      39
17909.3  ,      28
17933.7  ,      29
17958.1  ,      26
17982.5  ,      37
18006.9  ,      30
18031.3  ,      26
18055.7  ,      40
18080.1  ,      42
18104.5  ,      35
18128.9  ,      58
18153.3  ,      77
18177.7  ,      94
18202.1  ,     126
18226.5  ,     147
18250.9  ,     145
18275.3  ,     195
18299.7  ,     185
18324.1  ,     154
18348.5  ,     132
18372.9  ,     142
18397.3  ,      90
18421.7  ,      65
18446.1  ,      53
18470.5  ,      49
18494.9  ,      22
18519.3  ,      27
18543.7  ,      12
18568.2  ,      14
18592.6  ,      12
18617.0  ,       6
18641.4  ,      10
18665.8  ,       9
18690.2  ,      13
18714.6  ,      12
18739.0  ,       8
18763.4  ,      13
18787.8  ,       6
18812.2  ,      12
18836.6  ,      11
18861.0  ,       8
18885.4  ,       6
18909.8  ,       8
18934.2  ,      16
18958.6  ,      14
18983.0  ,      12
19007.4  ,       8
19031.8  ,       9
19056.2  ,      10
19080.6  ,       6
19105.0  ,      16
19129.4  ,      15
19153.8  ,      11
19178.2  ,      11
19202.6  ,       6
19227.1  ,      15
19251.5  ,      16
19275.9  ,      16
19300.3  ,      17
