"Target: Windjana_Raster3, Contains DAT files: APB_451823630ESC06120311330_______M1.DAT"
  485.4  ,     660
  509.8  ,       0
  534.2  ,       0
  558.6  ,       0
  583.0  ,       0
  607.4  ,     116
  631.8  ,       0
  656.2  ,       0
  680.6  ,     172
  705.0  ,     207
  729.4  ,     219
  753.8  ,     179
  778.2  ,     199
  802.6  ,     208
  827.0  ,     169
  851.4  ,     179
  875.8  ,     180
  900.2  ,     201
  924.6  ,     246
  949.0  ,     292
  973.5  ,     446
  997.9  ,     557
 1022.3  ,     657
 1046.7  ,     656
 1071.1  ,     554
 1095.5  ,     418
 1119.9  ,     398
 1144.3  ,     502
 1168.7  ,     923
 1193.1  ,    1643
 1217.5  ,    2385
 1241.9  ,    2676
 1266.3  ,    2328
 1290.7  ,    1663
 1315.1  ,    1035
 1339.5  ,     659
 1363.9  ,     571
 1388.3  ,     922
 1412.7  ,    1478
 1437.1  ,    2376
 1461.5  ,    3144
 1485.9  ,    3256
 1510.3  ,    2542
 1534.7  ,    1730
 1559.1  ,    1081
 1583.5  ,     823
 1607.9  ,    1152
 1632.3  ,    2223
 1656.7  ,    4402
 1681.1  ,    8060
 1705.5  ,   11359
 1729.9  ,   12633
 1754.3  ,   11028
 1778.7  ,    7549
 1803.1  ,    4189
 1827.5  ,    2052
 1851.9  ,     944
 1876.3  ,     576
 1900.7  ,     384
 1925.1  ,     305
 1949.6  ,     253
 1974.0  ,     256
 1998.4  ,     285
 2022.8  ,     255
 2047.2  ,     202
 2071.6  ,     167
 2096.0  ,     136
 2120.4  ,     110
 2144.8  ,     122
 2169.2  ,     136
 2193.6  ,     190
 2218.0  ,     349
 2242.4  ,     597
 2266.8  ,     808
 2291.2  ,     994
 2315.6  ,     952
 2340.0  ,     651
 2364.4  ,     397
 2388.8  ,     274
 2413.2  ,     179
 2437.6  ,     131
 2462.0  ,     127
 2486.4  ,     148
 2510.8  ,     158
 2535.2  ,     201
 2559.6  ,     286
 2584.0  ,     316
 2608.4  ,     413
 2632.8  ,     353
 2657.2  ,     305
 2681.6  ,     173
 2706.0  ,     133
 2730.4  ,      70
 2754.8  ,      79
 2779.2  ,      59
 2803.6  ,      67
 2828.0  ,      55
 2852.4  ,      63
 2876.8  ,      60
 2901.3  ,      53
 2925.7  ,      47
 2950.1  ,      59
 2974.5  ,      33
 2998.9  ,      45
 3023.3  ,      37
 3047.7  ,      34
 3072.1  ,      47
 3096.5  ,      38
 3120.9  ,      40
 3145.3  ,      43
 3169.7  ,      60
 3194.1  ,      99
 3218.5  ,     161
 3242.9  ,     232
 3267.3  ,     314
 3291.7  ,     419
 3316.1  ,     404
 3340.5  ,     329
 3364.9  ,     228
 3389.3  ,     158
 3413.7  ,      83
 3438.1  ,      66
 3462.5  ,      74
 3486.9  ,      71
 3511.3  ,      87
 3535.7  ,     153
 3560.1  ,     207
 3584.5  ,     329
 3608.9  ,     494
 3633.3  ,     711
 3657.7  ,     867
 3682.1  ,     953
 3706.5  ,     781
 3730.9  ,     617
 3755.3  ,     378
 3779.7  ,     215
 3804.1  ,     117
 3828.5  ,      60
 3853.0  ,      55
 3877.4  ,      51
 3901.8  ,      57
 3926.2  ,      75
 3950.6  ,     106
 3975.0  ,     124
 3999.4  ,     137
 4023.8  ,     138
 4048.2  ,     117
 4072.6  ,      84
 4097.0  ,      72
 4121.4  ,      50
 4145.8  ,      30
 4170.2  ,      27
 4194.6  ,      24
 4219.0  ,      24
 4243.4  ,      23
 4267.8  ,      28
 4292.2  ,      30
 4316.6  ,      33
 4341.0  ,      32
 4365.4  ,      36
 4389.8  ,      58
 4414.2  ,      75
 4438.6  ,     106
 4463.0  ,     146
 4487.4  ,     161
 4511.8  ,     148
 4536.2  ,     120
 4560.6  ,      88
 4585.0  ,      94
 4609.4  ,      78
 4633.8  ,      60
 4658.2  ,      72
 4682.6  ,      51
 4707.0  ,      49
 4731.4  ,      39
 4755.8  ,      27
 4780.2  ,      27
 4804.6  ,      36
 4829.1  ,      26
 4853.5  ,      48
 4877.9  ,      49
 4902.3  ,      57
 4926.7  ,      39
 4951.1  ,      53
 4975.5  ,      40
 4999.9  ,      38
 5024.3  ,      33
 5048.7  ,      25
 5073.1  ,      34
 5097.5  ,      42
 5121.9  ,      31
 5146.3  ,      31
 5170.7  ,      28
 5195.1  ,      36
 5219.5  ,      33
 5243.9  ,      44
