"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.98    ,  0.20  
MgO     ,  9.03    ,  0.25  
Al2O3   ,  7.08    ,  0.19  
SiO2    , 40.11    ,  0.64  
P2O5    ,  0.91    ,  0.07  
SO3     ,  6.27    ,  0.20  
Cl      ,  1.34    ,  0.06  
K2O     ,  1.76    ,  0.06  
CaO     ,  5.54    ,  0.10  
TiO2    ,  0.98    ,  0.07  
Cr2O3   ,  0.38    ,  0.05  
MnO     ,  0.62    ,  0.04  
FeO     , 23.33    ,  0.26  
Ni      ,  0.0439  ,  0.0050
Zn      ,  0.3828  ,  0.0115
Br      ,  0.1608  ,  0.0050
