"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.95    ,  0.20  
MgO     ,  9.18    ,  0.25  
Al2O3   ,  6.90    ,  0.29  
SiO2    , 40.04    ,  0.64  
P2O5    ,  0.92    ,  0.07  
SO3     ,  6.16    ,  0.20  
Cl      ,  1.33    ,  0.06  
K2O     ,  1.79    ,  0.06  
CaO     ,  5.47    ,  0.10  
TiO2    ,  1.02    ,  0.09  
Cr2O3   ,  0.41    ,  0.05  
MnO     ,  0.55    ,  0.04  
FeO     , 23.57    ,  0.26  
Ni      ,  0.0371  ,  0.0050
Zn      ,  0.3429  ,  0.0105
Br      ,  0.1491  ,  0.0045
