"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.21    ,  0.07  
MgO     , 10.87    ,  0.25  
Al2O3   ,  5.62    ,  0.19  
SiO2    , 40.47    ,  0.43  
P2O5    ,  0.81    ,  0.05  
SO3     ,  3.95    ,  0.05  
Cl      ,  1.65    ,  0.03  
K2O     ,  3.01    ,  0.10  
CaO     ,  5.01    ,  0.06  
TiO2    ,  1.03    ,  0.03  
Cr2O3   ,  0.42    ,  0.01  
MnO     ,  0.67    ,  0.03  
FeO     , 24.51    ,  0.26  
Ni      ,  0.0384  ,  0.0020
Zn      ,  0.3981  ,  0.0120
Br      ,  0.1979  ,  0.0060
