"Target: Windjana_Raster1, Contains DAT files: APB_451821664ESC06120311330_______M1.DAT"
  485.1  ,     660
  509.5  ,       0
  533.9  ,       0
  558.3  ,       0
  582.8  ,       0
  607.2  ,     116
  631.6  ,       0
  656.0  ,      69
  680.4  ,     209
  704.8  ,     232
  729.3  ,     211
  753.7  ,     197
  778.1  ,     166
  802.5  ,     158
  826.9  ,     182
  851.3  ,     202
  875.8  ,     198
  900.2  ,     184
  924.6  ,     211
  949.0  ,     260
  973.4  ,     375
  997.8  ,     545
 1022.3  ,     647
 1046.7  ,     660
 1071.1  ,     515
 1095.5  ,     413
 1119.9  ,     344
 1144.3  ,     421
 1168.8  ,     859
 1193.2  ,    1477
 1217.6  ,    2415
 1242.0  ,    2755
 1266.4  ,    2399
 1290.8  ,    1640
 1315.2  ,     852
 1339.7  ,     531
 1364.1  ,     450
 1388.5  ,     745
 1412.9  ,    1373
 1437.3  ,    2463
 1461.7  ,    3204
 1486.2  ,    3290
 1510.6  ,    2535
 1535.0  ,    1539
 1559.4  ,     903
 1583.8  ,     689
 1608.2  ,     934
 1632.7  ,    1800
 1657.1  ,    3935
 1681.5  ,    7878
 1705.9  ,   11710
 1730.3  ,   13177
 1754.7  ,   11121
 1779.2  ,    7152
 1803.6  ,    3546
 1828.0  ,    1606
 1852.4  ,     828
 1876.8  ,     509
 1901.2  ,     361
 1925.7  ,     261
 1950.1  ,     236
 1974.5  ,     274
 1998.9  ,     277
 2023.3  ,     253
 2047.7  ,     204
 2072.1  ,     144
 2096.6  ,     106
 2121.0  ,     133
 2145.4  ,     107
 2169.8  ,     113
 2194.2  ,     198
 2218.6  ,     299
 2243.1  ,     561
 2267.5  ,     821
 2291.9  ,    1067
 2316.3  ,     943
 2340.7  ,     669
 2365.1  ,     363
 2389.6  ,     212
 2414.0  ,     143
 2438.4  ,     113
 2462.8  ,     139
 2487.2  ,     134
 2511.6  ,     156
 2536.1  ,     194
 2560.5  ,     272
 2584.9  ,     363
 2609.3  ,     389
 2633.7  ,     383
 2658.1  ,     283
 2682.6  ,     179
 2707.0  ,     104
 2731.4  ,      80
 2755.8  ,      63
 2780.2  ,      66
 2804.6  ,      73
 2829.0  ,      70
 2853.5  ,      65
 2877.9  ,      58
 2902.3  ,      58
 2926.7  ,      65
 2951.1  ,      59
 2975.5  ,      59
 3000.0  ,      36
 3024.4  ,      40
 3048.8  ,      34
 3073.2  ,      36
 3097.6  ,      37
 3122.0  ,      36
 3146.5  ,      39
 3170.9  ,      67
 3195.3  ,      94
 3219.7  ,     142
 3244.1  ,     238
 3268.5  ,     355
 3293.0  ,     447
 3317.4  ,     449
 3341.8  ,     342
 3366.2  ,     237
 3390.6  ,     126
 3415.0  ,     108
 3439.5  ,      55
 3463.9  ,      60
 3488.3  ,      79
 3512.7  ,      91
 3537.1  ,     150
 3561.5  ,     181
 3585.9  ,     305
 3610.4  ,     484
 3634.8  ,     714
 3659.2  ,     930
 3683.6  ,     948
 3708.0  ,     806
 3732.4  ,     555
 3756.9  ,     325
 3781.3  ,     169
 3805.7  ,      93
 3830.1  ,      46
 3854.5  ,      40
 3878.9  ,      47
 3903.4  ,      45
 3927.8  ,      84
 3952.2  ,      97
 3976.6  ,     128
 4001.0  ,     142
 4025.4  ,     115
 4049.9  ,     122
 4074.3  ,      93
 4098.7  ,      67
 4123.1  ,      47
 4147.5  ,      28
 4171.9  ,      27
 4196.4  ,      18
 4220.8  ,      26
 4245.2  ,      24
 4269.6  ,      22
 4294.0  ,      32
 4318.4  ,      37
 4342.8  ,      28
 4367.3  ,      35
 4391.7  ,      50
 4416.1  ,      82
 4440.5  ,     134
 4464.9  ,     123
 4489.3  ,     156
 4513.8  ,     132
 4538.2  ,     133
 4562.6  ,      97
 4587.0  ,      80
 4611.4  ,      62
 4635.8  ,      55
 4660.3  ,      72
 4684.7  ,      49
 4709.1  ,      35
 4733.5  ,      24
 4757.9  ,      24
 4782.3  ,      39
 4806.8  ,      31
 4831.2  ,      28
 4855.6  ,      22
 4880.0  ,      36
 4904.4  ,      45
 4928.8  ,      46
 4953.3  ,      45
 4977.7  ,      38
 5002.1  ,      29
 5026.5  ,      32
 5050.9  ,      33
 5075.3  ,      32
 5099.7  ,      34
 5124.2  ,      27
 5148.6  ,      32
 5173.0  ,      39
 5197.4  ,      35
 5221.8  ,      28
 5246.2  ,      27
 5270.7  ,      36
 5295.1  ,      52
 5319.5  ,      66
 5343.9  ,      79
 5368.3  ,      93
 5392.7  ,      93
 5417.2  ,      86
 5441.6  ,      67
 5466.0  ,      67
 5490.4  ,      51
 5514.8  ,      44
 5539.2  ,      43
 5563.7  ,      46
 5588.1  ,      42
 5612.5  ,      39
 5636.9  ,      37
 5661.3  ,      36
 5685.7  ,      31
 5710.2  ,      42
 5734.6  ,      51
 5759.0  ,      90
 5783.4  ,      94
 5807.8  ,     122
 5832.2  ,     167
 5856.6  ,     204
 5881.1  ,     225
 5905.5  ,     201
 5929.9  ,     194
 5954.3  ,     147
 5978.7  ,     107
 6003.1  ,      88
 6027.6  ,      84
 6052.0  ,      88
 6076.4  ,      73
 6100.8  ,     106
 6125.2  ,     130
 6149.6  ,     177
 6174.1  ,     211
 6198.5  ,     380
 6222.9  ,     638
 6247.3  ,    1205
 6271.7  ,    2149
 6296.1  ,    3511
 6320.6  ,    5180
 6345.0  ,    7039
 6369.4  ,    7916
 6393.8  ,    8061
 6418.2  ,    7058
 6442.6  ,    5363
 6467.1  ,    3327
 6491.5  ,    1890
 6515.9  ,     914
 6540.3  ,     439
 6564.7  ,     189
 6589.1  ,      80
 6613.5  ,      46
 6638.0  ,      42
 6662.4  ,      30
 6686.8  ,      38
 6711.2  ,      39
 6735.6  ,      37
 6760.0  ,      51
 6784.5  ,      53
 6808.9  ,      62
 6833.3  ,      71
 6857.7  ,     118
 6882.1  ,     161
 6906.5  ,     266
 6931.0  ,     433
 6955.4  ,     639
 6979.8  ,     948
 7004.2  ,    1159
 7028.6  ,    1193
 7053.0  ,    1214
 7077.5  ,    1014
 7101.9  ,     799
 7126.3  ,     510
 7150.7  ,     303
 7175.1  ,     184
 7199.5  ,      81
 7224.0  ,      41
 7248.4  ,      19
 7272.8  ,      14
 7297.2  ,       9
 7321.6  ,       9
 7346.0  ,      16
 7370.4  ,      12
 7394.9  ,      14
 7419.3  ,      29
 7443.7  ,      27
 7468.1  ,      40
 7492.5  ,      21
 7516.9  ,      19
 7541.4  ,      19
 7565.8  ,      16
 7590.2  ,      10
 7614.6  ,       7
 7639.0  ,       2
 7663.4  ,       8
 7687.9  ,      12
 7712.3  ,       7
 7736.7  ,       9
 7761.1  ,       7
 7785.5  ,       9
 7809.9  ,       7
 7834.4  ,      12
 7858.8  ,      13
 7883.2  ,       5
 7907.6  ,       7
 7932.0  ,      10
 7956.4  ,      12
 7980.9  ,      12
 8005.3  ,      22
 8029.7  ,      15
 8054.1  ,      12
 8078.5  ,      18
 8102.9  ,       9
 8127.3  ,      17
 8151.8  ,      16
 8176.2  ,      10
 8200.6  ,      10
 8225.0  ,      14
 8249.4  ,      15
 8273.8  ,      15
 8298.3  ,      19
 8322.7  ,       9
 8347.1  ,      11
 8371.5  ,      11
 8395.9  ,      17
 8420.3  ,      30
 8444.8  ,      44
 8469.2  ,      51
 8493.6  ,     103
 8518.0  ,     131
 8542.4  ,     213
 8566.8  ,     286
 8591.3  ,     302
 8615.7  ,     309
 8640.1  ,     321
 8664.5  ,     233
 8688.9  ,     181
 8713.3  ,     118
 8737.8  ,      90
 8762.2  ,      43
 8786.6  ,      39
 8811.0  ,      16
 8835.4  ,      10
 8859.8  ,      13
 8884.2  ,       9
 8908.7  ,       9
 8933.1  ,      13
 8957.5  ,      12
 8981.9  ,       7
 9006.3  ,       6
 9030.7  ,       5
 9055.2  ,       8
 9079.6  ,      11
