"Target: Windjana_Raster4, Contains DAT files: APB_451824622ESC06120311330_______M1.DAT"
  485.0  ,     660
  509.4  ,       0
  533.8  ,       0
  558.2  ,       0
  582.6  ,       0
  607.0  ,     116
  631.4  ,       0
  655.8  ,       0
  680.2  ,     123
  704.6  ,     183
  729.0  ,     220
  753.4  ,     181
  777.8  ,     170
  802.2  ,     170
  826.6  ,     195
  851.0  ,     179
  875.4  ,     193
  899.8  ,     218
  924.2  ,     202
  948.6  ,     287
  973.0  ,     464
  997.4  ,     514
 1021.9  ,     627
 1046.3  ,     590
 1070.7  ,     554
 1095.1  ,     430
 1119.5  ,     439
 1143.9  ,     600
 1168.3  ,    1011
 1192.7  ,    1541
 1217.1  ,    2130
 1241.5  ,    2510
 1265.9  ,    2186
 1290.3  ,    1614
 1314.7  ,    1071
 1339.1  ,     677
 1363.5  ,     607
 1387.9  ,     845
 1412.3  ,    1457
 1436.7  ,    2235
 1461.1  ,    2865
 1485.5  ,    2910
 1509.9  ,    2485
 1534.3  ,    1740
 1558.7  ,    1155
 1583.1  ,     911
 1607.5  ,    1259
 1631.9  ,    2355
 1656.3  ,    4621
 1680.7  ,    7589
 1705.1  ,   10382
 1729.5  ,   11582
 1753.9  ,   10452
 1778.3  ,    7380
 1802.7  ,    4379
 1827.1  ,    2178
 1851.5  ,    1095
 1875.9  ,     624
 1900.3  ,     382
 1924.7  ,     291
 1949.1  ,     266
 1973.5  ,     235
 1997.9  ,     240
 2022.3  ,     229
 2046.8  ,     201
 2071.2  ,     178
 2095.6  ,     140
 2120.0  ,     104
 2144.4  ,     122
 2168.8  ,     173
 2193.2  ,     227
 2217.6  ,     346
 2242.0  ,     549
 2266.4  ,     756
 2290.8  ,     881
 2315.2  ,     862
 2339.6  ,     610
 2364.0  ,     437
 2388.4  ,     282
 2412.8  ,     177
 2437.2  ,     118
 2461.6  ,     130
 2486.0  ,     127
 2510.4  ,     142
 2534.8  ,     193
 2559.2  ,     249
 2583.6  ,     324
 2608.0  ,     351
 2632.4  ,     328
 2656.8  ,     257
 2681.2  ,     185
 2705.6  ,     103
 2730.0  ,      88
 2754.4  ,      45
 2778.8  ,      48
 2803.2  ,      55
 2827.6  ,      77
 2852.0  ,      45
 2876.4  ,      60
 2900.8  ,      54
 2925.2  ,      56
 2949.6  ,      53
 2974.0  ,      53
 2998.4  ,      48
 3022.8  ,      48
 3047.2  ,      32
 3071.6  ,      34
 3096.1  ,      28
 3120.5  ,      58
 3144.9  ,      62
 3169.3  ,      60
 3193.7  ,      87
 3218.1  ,     157
 3242.5  ,     256
 3266.9  ,     330
 3291.3  ,     399
 3315.7  ,     444
 3340.1  ,     330
 3364.5  ,     246
 3388.9  ,     152
 3413.3  ,      94
 3437.7  ,      63
 3462.1  ,      82
 3486.5  ,      78
 3510.9  ,      93
 3535.3  ,     148
 3559.7  ,     198
 3584.1  ,     331
 3608.5  ,     490
 3632.9  ,     653
 3657.3  ,     762
 3681.7  ,     848
 3706.1  ,     705
 3730.5  ,     602
 3754.9  ,     387
 3779.3  ,     223
 3803.7  ,     113
 3828.1  ,      64
 3852.5  ,      53
 3876.9  ,      40
 3901.3  ,      69
 3925.7  ,      68
 3950.1  ,      91
 3974.5  ,     127
 3998.9  ,     137
 4023.3  ,     147
 4047.7  ,     103
 4072.1  ,      74
 4096.5  ,      54
 4120.9  ,      40
 4145.4  ,      38
 4169.8  ,      37
 4194.2  ,      18
 4218.6  ,      20
 4243.0  ,      25
 4267.4  ,      23
 4291.8  ,      19
 4316.2  ,      27
 4340.6  ,      33
 4365.0  ,      49
 4389.4  ,      47
 4413.8  ,      99
 4438.2  ,     121
 4462.6  ,     139
 4487.0  ,     158
 4511.4  ,     152
 4535.8  ,     131
 4560.2  ,      96
 4584.6  ,      82
 4609.0  ,      64
 4633.4  ,      67
 4657.8  ,      64
 4682.2  ,      31
 4706.6  ,      48
 4731.0  ,      43
 4755.4  ,      34
 4779.8  ,      38
 4804.2  ,      31
 4828.6  ,      28
 4853.0  ,      35
 4877.4  ,      39
 4901.8  ,      42
 4926.2  ,      35
 4950.6  ,      43
 4975.0  ,      36
 4999.4  ,      46
 5023.8  ,      33
 5048.2  ,      34
 5072.6  ,      25
 5097.0  ,      26
 5121.4  ,      13
 5145.8  ,      18
 5170.3  ,      27
 5194.7  ,      31
 5219.1  ,      32
 5243.5  ,      31
 5267.9  ,      52
 5292.3  ,      58
 5316.7  ,      73
 5341.1  ,     110
 5365.5  ,      87
 5389.9  ,      95
 5414.3  ,     100
 5438.7  ,      79
 5463.1  ,      57
 5487.5  ,      60
 5511.9  ,      49
 5536.3  ,      44
 5560.7  ,      31
 5585.1  ,      51
 5609.5  ,      43
 5633.9  ,      46
 5658.3  ,      38
 5682.7  ,      39
 5707.1  ,      41
 5731.5  ,      55
 5755.9  ,      65
 5780.3  ,      79
 5804.7  ,     101
 5829.1  ,     156
 5853.5  ,     154
 5877.9  ,     167
 5902.3  ,     179
 5926.7  ,     154
 5951.1  ,     119
 5975.5  ,     108
 5999.9  ,      82
 6024.3  ,      76
 6048.7  ,      85
 6073.1  ,      84
 6097.5  ,     115
 6121.9  ,     129
 6146.3  ,     181
 6170.7  ,     270
 6195.1  ,     430
 6219.6  ,     789
 6244.0  ,    1232
 6268.4  ,    2203
 6292.8  ,    3432
 6317.2  ,    4978
 6341.6  ,    6558
 6366.0  ,    7460
 6390.4  ,    7363
 6414.8  ,    6737
 6439.2  ,    5505
 6463.6  ,    3872
 6488.0  ,    2276
 6512.4  ,    1237
 6536.8  ,     637
 6561.2  ,     302
 6585.6  ,     120
 6610.0  ,      79
 6634.4  ,      50
 6658.8  ,      40
 6683.2  ,      40
 6707.6  ,      42
 6732.0  ,      41
 6756.4  ,      46
 6780.8  ,      49
 6805.2  ,      69
 6829.6  ,      91
 6854.0  ,     122
 6878.4  ,     191
 6902.8  ,     286
 6927.2  ,     450
 6951.6  ,     633
 6976.0  ,     843
 7000.4  ,    1014
 7024.8  ,    1181
 7049.2  ,    1151
 7073.6  ,    1030
 7098.0  ,     817
 7122.4  ,     579
 7146.8  ,     349
 7171.2  ,     228
 7195.6  ,     113
 7220.0  ,      51
 7244.4  ,      28
 7268.9  ,      21
 7293.3  ,      11
 7317.7  ,      14
 7342.1  ,      10
 7366.5  ,      20
 7390.9  ,      29
 7415.3  ,      24
 7439.7  ,      27
 7464.1  ,      32
 7488.5  ,      26
 7512.9  ,      12
 7537.3  ,      28
 7561.7  ,      18
 7586.1  ,       8
 7610.5  ,      12
 7634.9  ,       3
 7659.3  ,      11
 7683.7  ,      11
 7708.1  ,      13
 7732.5  ,       4
 7756.9  ,       3
 7781.3  ,       6
 7805.7  ,      12
 7830.1  ,       8
 7854.5  ,      13
 7878.9  ,      11
 7903.3  ,       9
 7927.7  ,       9
 7952.1  ,      12
 7976.5  ,      18
 8000.9  ,       9
 8025.3  ,      14
 8049.7  ,       8
 8074.1  ,      14
 8098.5  ,       9
 8122.9  ,       9
 8147.3  ,      11
 8171.7  ,      11
 8196.1  ,       5
 8220.5  ,      16
 8244.9  ,      15
 8269.3  ,       8
 8293.8  ,      18
 8318.2  ,      12
 8342.6  ,      15
 8367.0  ,      17
 8391.4  ,      19
 8415.8  ,      34
 8440.2  ,      31
 8464.6  ,      50
 8489.0  ,     103
 8513.4  ,     121
 8537.8  ,     182
 8562.2  ,     247
 8586.6  ,     291
 8611.0  ,     286
 8635.4  ,     296
 8659.8  ,     257
 8684.2  ,     202
 8708.6  ,     126
 8733.0  ,      96
 8757.4  ,      46
 8781.8  ,      32
 8806.2  ,      17
 8830.6  ,      13
 8855.0  ,      11
 8879.4  ,       8
 8903.8  ,      13
 8928.2  ,       7
 8952.6  ,      13
 8977.0  ,      10
 9001.4  ,      10
 9025.8  ,      12
 9050.2  ,       6
 9074.6  ,       5
 9099.0  ,       5
 9123.4  ,       7
 9147.8  ,      11
 9172.2  ,       6
 9196.6  ,       7
 9221.0  ,      13
 9245.4  ,      11
 9269.8  ,      11
 9294.2  ,       1
 9318.6  ,      16
 9343.1  ,      14
 9367.5  ,      12
 9391.9  ,      11
 9416.3  ,      26
 9440.7  ,      21
 9465.1  ,      42
 9489.5  ,      43
 9513.9  ,      49
 9538.3  ,      56
 9562.7  ,      52
 9587.1  ,      54
 9611.5  ,      65
 9635.9  ,      41
 9660.3  ,      18
 9684.7  ,      19
 9709.1  ,      19
 9733.5  ,      14
 9757.9  ,      11
 9782.3  ,      10
 9806.7  ,      11
 9831.1  ,      17
 9855.5  ,      13
 9879.9  ,      16
 9904.3  ,      13
 9928.7  ,      18
 9953.1  ,      12
 9977.5  ,       9
10001.9  ,      13
10026.3  ,      10
10050.7  ,      12
10075.1  ,       6
10099.5  ,      12
10123.9  ,       4
10148.3  ,      10
10172.7  ,       6
10197.1  ,      10
10221.5  ,       9
10245.9  ,       9
10270.3  ,       1
10294.7  ,       9
10319.1  ,       8
10343.5  ,       8
10367.9  ,       8
10392.4  ,       5
10416.8  ,      12
10441.2  ,      11
10465.6  ,       5
10490.0  ,       9
10514.4  ,       9
10538.8  ,      10
10563.2  ,       7
