"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  4.03    ,  0.14  
MgO     ,  2.44    ,  0.08  
Al2O3   , 10.05    ,  0.29  
SiO2    , 65.62    ,  0.75  
P2O5    ,  1.07    ,  0.07  
SO3     ,  3.35    ,  0.08  
Cl      ,  0.91    ,  0.03  
K2O     ,  1.75    ,  0.06  
CaO     ,  2.50    ,  0.04  
TiO2    ,  1.24    ,  0.05  
Cr2O3   ,  0.10    ,  0.01  
MnO     ,  0.08    ,  0.01  
FeO     ,  6.58    ,  0.13  
Ni      ,  0.0172  ,  0.0015
Zn      ,  0.0380  ,  0.0015
Br      ,  0.0114  ,  0.0005
