"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.35    ,  0.14  
MgO     , 11.49    ,  0.25  
Al2O3   ,  8.34    ,  0.19  
SiO2    , 42.42    ,  0.43  
P2O5    ,  0.76    ,  0.05  
SO3     ,  2.96    ,  0.08  
Cl      ,  0.45    ,  0.02  
K2O     ,  0.39    ,  0.01  
CaO     ,  6.99    ,  0.07  
TiO2    ,  0.92    ,  0.03  
Cr2O3   ,  0.41    ,  0.01  
MnO     ,  0.44    ,  0.01  
FeO     , 21.92    ,  0.26  
Ni      ,  0.0939  ,  0.0050
Zn      ,  0.0166  ,  0.0010
Br      ,  0.0040  ,  0.0005
