"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  2.14    ,  0.20  
MgO     ,  6.58    ,  0.33  
Al2O3   ,  8.32    ,  0.47  
SiO2    , 41.53    ,  0.86  
P2O5    ,  0.80    ,  0.09  
SO3     ,  7.58    ,  0.40  
Cl      ,  1.10    ,  0.06  
K2O     ,  0.68    ,  0.04  
CaO     ,  7.00    ,  0.36  
TiO2    ,  1.39    ,  0.08  
Cr2O3   ,  0.25    ,  0.04  
MnO     ,  0.29    ,  0.04  
FeO     , 21.96    ,  0.45  
Ni      ,  0.0455  ,  0.0045
Zn      ,  0.0643  ,  0.0035
Br      ,  0.0527  ,  0.0030
