"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  2.25    ,  0.13  
MgO     ,  6.69    ,  0.17  
Al2O3   ,  8.41    ,  0.19  
SiO2    , 43.87    ,  0.53  
P2O5    ,  0.87    ,  0.05  
SO3     ,  5.38    ,  0.07  
Cl      ,  1.10    ,  0.02  
K2O     ,  0.64    ,  0.02  
CaO     ,  6.15    ,  0.07  
TiO2    ,  1.28    ,  0.05  
Cr2O3   ,  0.34    ,  0.01  
MnO     ,  0.30    ,  0.01  
FeO     , 22.44    ,  0.26  
Ni      ,  0.0518  ,  0.0030
Zn      ,  0.0655  ,  0.0020
Br      ,  0.0344  ,  0.0015
