"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.86    ,  0.20  
MgO     , 17.11    ,  0.42  
Al2O3   ,  7.62    ,  0.19  
SiO2    , 40.60    ,  0.54  
P2O5    ,  0.97    ,  0.07  
SO3     ,  6.67    ,  0.15  
Cl      ,  1.42    ,  0.05  
K2O     ,  2.14    ,  0.07  
CaO     ,  3.31    ,  0.06  
TiO2    ,  0.85    ,  0.05  
Cr2O3   ,  0.25    ,  0.03  
MnO     ,  0.25    ,  0.03  
FeO     , 16.25    ,  0.20  
Ni      ,  0.1052  ,  0.0055
Zn      ,  0.3433  ,  0.0105
Br      ,  0.0486  ,  0.0015
