"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.38    ,  0.14  
MgO     ,  6.16    ,  0.17  
Al2O3   ,  9.53    ,  0.29  
SiO2    , 50.50    ,  0.54  
P2O5    ,  1.12    ,  0.07  
SO3     ,  2.63    ,  0.05  
Cl      ,  0.88    ,  0.02  
K2O     ,  0.94    ,  0.04  
CaO     ,  5.05    ,  0.06  
TiO2    ,  1.00    ,  0.03  
Cr2O3   ,  0.28    ,  0.01  
MnO     ,  0.25    ,  0.01  
FeO     , 18.03    ,  0.20  
Ni      ,  0.0658  ,  0.0035
Zn      ,  0.0938  ,  0.0030
Br      ,  0.0219  ,  0.0010
