"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.89    ,  0.20  
MgO     ,  7.78    ,  0.25  
Al2O3   ,  8.54    ,  0.29  
SiO2    , 42.04    ,  0.64  
P2O5    ,  1.00    ,  0.07  
SO3     ,  5.46    ,  0.15  
Cl      ,  1.68    ,  0.06  
K2O     ,  0.74    ,  0.04  
CaO     ,  7.27    ,  0.10  
TiO2    ,  0.92    ,  0.05  
Cr2O3   ,  0.30    ,  0.03  
MnO     ,  0.33    ,  0.03  
FeO     , 20.69    ,  0.26  
Ni      ,  0.0749  ,  0.0055
Zn      ,  0.1097  ,  0.0040
Br      ,  0.0765  ,  0.0025
