"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.10    ,  0.07  
MgO     ,  3.80    ,  0.08  
Al2O3   ,  7.22    ,  0.19  
SiO2    , 41.05    ,  0.43  
P2O5    ,  0.83    ,  0.05  
SO3     , 12.65    ,  0.15  
Cl      ,  1.05    ,  0.02  
K2O     ,  0.89    ,  0.04  
CaO     ,  7.05    ,  0.08  
TiO2    ,  1.01    ,  0.03  
Cr2O3   ,  0.30    ,  0.01  
MnO     ,  0.19    ,  0.01  
FeO     , 21.49    ,  0.26  
Ni      ,  0.0767  ,  0.0040
Zn      ,  0.1400  ,  0.0045
Br      ,  0.0785  ,  0.0025
