"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  4.67    ,  0.20  
MgO     ,  7.12    ,  0.17  
Al2O3   ,  7.49    ,  0.19  
SiO2    , 37.26    ,  0.43  
P2O5    ,  1.01    ,  0.07  
SO3     , 10.95    ,  0.15  
Cl      ,  6.30    ,  0.08  
K2O     ,  0.61    ,  0.02  
CaO     ,  6.78    ,  0.07  
TiO2    ,  0.90    ,  0.03  
Cr2O3   ,  0.27    ,  0.01  
MnO     ,  0.22    ,  0.01  
FeO     , 16.17    ,  0.20  
Ni      ,  0.0707  ,  0.0040
Zn      ,  0.0905  ,  0.0030
Br      ,  0.0088  ,  0.0005
