"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.68    ,  0.14  
MgO     ,  6.73    ,  0.17  
Al2O3   ,  8.33    ,  0.19  
SiO2    , 42.25    ,  0.43  
P2O5    ,  0.84    ,  0.05  
SO3     ,  8.57    ,  0.10  
Cl      ,  1.83    ,  0.03  
K2O     ,  0.85    ,  0.04  
CaO     ,  5.65    ,  0.07  
TiO2    ,  1.04    ,  0.03  
Cr2O3   ,  0.33    ,  0.01  
MnO     ,  0.32    ,  0.01  
FeO     , 20.21    ,  0.26  
Ni      ,  0.1018  ,  0.0055
Zn      ,  0.1284  ,  0.0040
Br      ,  0.0159  ,  0.0005
