"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.33    ,  0.27  
MgO     ,  7.04    ,  0.25  
Al2O3   ,  8.87    ,  0.29  
SiO2    , 47.60    ,  0.86  
P2O5    ,  0.83    ,  0.07  
SO3     ,  4.49    ,  0.17  
Cl      ,  1.55    ,  0.07  
K2O     ,  0.95    ,  0.05  
CaO     ,  3.68    ,  0.10  
TiO2    ,  1.00    ,  0.07  
Cr2O3   ,  0.35    ,  0.05  
MnO     ,  0.18    ,  0.03  
FeO     , 20.70    ,  0.26  
Ni      ,  0.0778  ,  0.0070
Zn      ,  0.1729  ,  0.0065
Br      ,  0.1053  ,  0.0035
