"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.78    ,  0.14  
MgO     ,  8.17    ,  0.17  
Al2O3   , 11.32    ,  0.29  
SiO2    , 43.39    ,  0.54  
P2O5    ,  0.88    ,  0.05  
SO3     ,  5.66    ,  0.08  
Cl      ,  1.56    ,  0.02  
K2O     ,  0.48    ,  0.02  
CaO     ,  5.98    ,  0.07  
TiO2    ,  0.96    ,  0.03  
Cr2O3   ,  0.48    ,  0.01  
MnO     ,  0.30    ,  0.01  
FeO     , 17.83    ,  0.20  
Ni      ,  0.0502  ,  0.0030
Zn      ,  0.0478  ,  0.0015
Br      ,  0.0126  ,  0.0005
