"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.99    ,  0.41  
MgO     ,  6.58    ,  1.33  
Al2O3   ,  7.11    ,  0.19  
SiO2    , 35.92    ,  0.43  
P2O5    ,  0.81    ,  0.19  
SO3     , 10.35    ,  0.17  
Cl      ,  1.30    ,  0.04  
K2O     ,  0.56    ,  0.12  
CaO     ,  7.29    ,  0.08  
TiO2    ,  0.88    ,  0.19  
Cr2O3   ,  0.30    ,  0.03  
MnO     ,  0.26    ,  0.03  
FeO     , 26.34    ,  0.33  
Ni      ,  0.0505  ,  0.0045
Zn      ,  0.1364  ,  0.0045
Br      ,  0.0366  ,  0.0015
