"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  4.24    ,  0.27  
MgO     ,  3.19    ,  0.25  
Al2O3   , 14.39    ,  0.38  
SiO2    , 49.32    ,  0.86  
P2O5    ,  0.60    ,  0.07  
SO3     ,  4.48    ,  0.20  
Cl      ,  1.46    ,  0.08  
K2O     ,  0.58    ,  0.04  
CaO     ,  5.53    ,  0.13  
TiO2    ,  0.53    ,  0.07  
Cr2O3   ,  0.00    ,  0.00  
MnO     ,  0.12    ,  0.03  
FeO     , 15.31    ,  0.20  
Ni      ,  0.0079  ,  0.0045
Zn      ,  0.0246  ,  0.0035
Br      ,  0.0139  ,  0.0020
