"Target: BardinBluffs2_pebble, Contains DAT files: APB_432465123ESC03940160050_______M2.DAT"
 7458.6  ,       7
 7483.0  ,       5
 7507.4  ,      11
 7531.8  ,       8
 7556.2  ,       5
 7580.6  ,       2
 7605.0  ,      10
 7629.4  ,       5
 7653.8  ,       5
 7678.2  ,       2
 7702.6  ,       1
 7727.0  ,       5
 7751.4  ,       2
 7775.8  ,       2
 7800.2  ,       5
 7824.6  ,       4
 7849.0  ,       2
 7873.4  ,       4
 7897.8  ,       6
 7922.2  ,       5
 7946.6  ,       5
 7971.0  ,       7
 7995.4  ,      10
 8019.8  ,       4
 8044.2  ,      10
 8068.6  ,       7
 8093.0  ,       1
 8117.4  ,       5
 8141.8  ,       6
 8166.2  ,       6
 8190.6  ,       6
 8215.0  ,       2
 8239.4  ,       3
 8263.8  ,       2
 8288.2  ,       1
 8312.6  ,       4
 8337.0  ,       4
 8361.4  ,       8
 8385.8  ,       4
 8410.2  ,       6
 8434.6  ,       7
 8459.0  ,      10
 8483.4  ,       8
 8507.8  ,      10
 8532.2  ,      20
 8556.6  ,      14
 8581.0  ,      11
 8605.4  ,      21
 8629.8  ,      14
 8654.2  ,      18
 8678.6  ,      13
 8703.0  ,       8
 8727.4  ,      15
 8751.8  ,       3
 8776.2  ,       8
 8800.6  ,       7
 8825.0  ,       3
 8849.4  ,       8
 8873.8  ,       7
 8898.2  ,       6
 8922.6  ,       8
 8947.0  ,       6
 8971.4  ,       6
 8995.8  ,       5
 9020.2  ,       5
 9044.6  ,       4
 9069.0  ,       6
 9093.4  ,       5
 9117.8  ,       6
 9142.1  ,       7
 9166.5  ,       5
 9190.9  ,       6
 9215.3  ,       4
 9239.7  ,       8
 9264.1  ,       7
 9288.5  ,       5
 9312.9  ,       6
 9337.3  ,       5
 9361.7  ,       6
 9386.1  ,       3
 9410.5  ,       9
 9434.9  ,       7
 9459.3  ,       9
 9483.7  ,       4
 9508.1  ,       8
 9532.5  ,       9
 9556.9  ,       4
 9581.3  ,       4
 9605.7  ,       8
 9630.1  ,       8
 9654.5  ,      10
 9678.9  ,       2
 9703.3  ,       6
 9727.7  ,       5
 9752.1  ,       7
 9776.5  ,       6
 9800.9  ,       4
 9825.3  ,       5
 9849.7  ,       5
 9874.1  ,       4
 9898.5  ,       4
 9922.9  ,       4
 9947.3  ,       8
 9971.7  ,       5
 9996.1  ,       4
10020.5  ,       5
10044.9  ,       8
10069.3  ,       6
10093.7  ,       5
10118.1  ,       5
10142.5  ,       6
10166.9  ,       5
10191.3  ,       4
10215.7  ,       8
10240.1  ,       3
10264.5  ,       4
10288.9  ,       2
10313.3  ,      11
10337.7  ,       2
10362.1  ,      14
10386.5  ,       8
10410.9  ,       7
10435.3  ,       3
10459.7  ,       6
10484.1  ,       6
10508.5  ,       4
10532.9  ,       6
10557.3  ,       2
10581.7  ,       2
10606.1  ,       1
10630.5  ,       6
10654.9  ,       9
10679.3  ,       6
10703.7  ,       4
10728.1  ,       5
10752.5  ,       6
10776.9  ,       6
10801.3  ,       5
10825.7  ,       1
10850.1  ,       2
10874.5  ,       5
10898.9  ,       4
10923.3  ,       4
10947.7  ,       5
10972.1  ,       9
10996.5  ,       5
11020.9  ,       4
11045.2  ,       3
11069.6  ,       0
11094.0  ,       6
11118.4  ,       5
11142.8  ,       6
11167.2  ,       8
11191.6  ,       4
11216.0  ,       5
11240.4  ,       6
11264.8  ,       9
11289.2  ,       9
11313.6  ,      11
11338.0  ,       5
11362.4  ,       5
11386.8  ,       3
11411.2  ,       7
11435.6  ,       9
11460.0  ,      10
11484.4  ,      11
11508.8  ,       9
11533.2  ,       9
11557.6  ,      12
11582.0  ,      10
11606.4  ,       5
11630.8  ,       7
11655.2  ,      14
11679.6  ,      12
11704.0  ,      17
11728.4  ,      11
11752.8  ,      20
11777.2  ,      16
11801.6  ,      14
11826.0  ,      22
11850.4  ,      16
11874.8  ,      37
11899.2  ,      29
11923.6  ,      27
11948.0  ,      17
11972.4  ,      21
11996.8  ,      13
12021.2  ,      20
12045.6  ,      20
12070.0  ,      11
12094.4  ,      13
12118.8  ,      11
12143.2  ,       9
12167.6  ,      13
12192.0  ,      12
12216.4  ,      10
12240.8  ,      10
12265.2  ,       7
12289.6  ,       8
12314.0  ,       9
12338.4  ,       8
12362.8  ,       8
12387.2  ,      11
12411.6  ,       7
12436.0  ,      13
12460.4  ,      10
12484.8  ,       9
12509.2  ,      12
12533.6  ,      11
12558.0  ,       8
12582.4  ,      12
12606.8  ,      18
12631.2  ,      14
12655.6  ,      14
12680.0  ,      13
12704.4  ,      15
12728.8  ,      21
12753.2  ,      12
12777.6  ,      15
12802.0  ,      15
12826.4  ,      12
12850.8  ,      17
12875.2  ,      17
12899.6  ,      16
12924.0  ,      14
12948.4  ,      21
12972.7  ,      12
12997.1  ,      20
13021.5  ,      19
13045.9  ,      23
13070.3  ,      34
13094.7  ,      32
13119.1  ,      32
13143.5  ,      27
13167.9  ,      30
13192.3  ,      39
13216.7  ,      60
13241.1  ,      38
13265.5  ,      60
13289.9  ,      70
13314.3  ,      71
13338.7  ,      79
13363.1  ,      73
13387.5  ,      84
13411.9  ,      80
13436.3  ,      92
13460.7  ,     113
13485.1  ,      90
13509.5  ,     105
13533.9  ,      91
13558.3  ,      91
13582.7  ,      97
13607.1  ,      80
13631.5  ,      85
13655.9  ,      94
13680.3  ,      83
13704.7  ,      74
13729.1  ,      56
13753.5  ,      47
13777.9  ,      36
13802.3  ,      47
13826.7  ,      30
13851.1  ,      44
13875.5  ,      24
13899.9  ,      35
13924.3  ,      23
13948.7  ,      30
13973.1  ,      39
13997.5  ,      43
14021.9  ,      41
14046.3  ,      59
14070.7  ,      53
14095.1  ,      76
14119.5  ,      62
14143.9  ,     105
14168.3  ,     103
14192.7  ,     132
14217.1  ,     125
14241.5  ,     154
14265.9  ,     133
14290.3  ,     143
14314.7  ,     122
14339.1  ,     124
14363.5  ,      75
14387.9  ,      63
14412.3  ,      36
14436.7  ,      20
14461.1  ,      14
14485.5  ,      12
14509.9  ,       9
14534.3  ,      15
14558.7  ,       8
14583.1  ,      11
14607.5  ,      10
14631.9  ,       5
14656.3  ,      10
14680.7  ,       7
14705.1  ,       7
14729.5  ,       4
14753.9  ,      13
14778.3  ,       8
14802.7  ,       9
14827.1  ,       9
14851.5  ,       9
14875.9  ,       9
14900.2  ,      11
14924.6  ,      14
14949.0  ,      14
14973.4  ,       8
14997.8  ,       9
15022.2  ,      11
15046.6  ,      10
15071.0  ,      14
15095.4  ,      10
15119.8  ,      16
15144.2  ,       8
15168.6  ,       7
15193.0  ,       8
15217.4  ,      12
15241.8  ,       7
15266.2  ,      15
15290.6  ,      16
15315.0  ,      17
15339.4  ,      14
15363.8  ,      12
15388.2  ,      16
15412.6  ,      25
15437.0  ,      27
15461.4  ,      19
15485.8  ,      13
15510.2  ,      30
15534.6  ,      44
15559.0  ,      40
15583.4  ,      65
15607.8  ,      77
15632.2  ,     116
15656.6  ,     154
15681.0  ,     124
15705.4  ,     155
15729.8  ,     195
15754.2  ,     189
15778.6  ,     161
15803.0  ,     150
15827.4  ,     156
15851.8  ,     110
15876.2  ,      89
15900.6  ,      79
15925.0  ,      61
15949.4  ,      50
15973.8  ,      43
15998.2  ,      43
16022.6  ,      38
16047.0  ,      39
16071.4  ,      39
16095.8  ,      33
16120.2  ,      34
16144.6  ,      34
16169.0  ,      31
16193.4  ,      35
16217.8  ,      47
16242.2  ,      49
16266.6  ,      40
16291.0  ,      44
16315.4  ,      35
16339.8  ,      52
16364.2  ,      36
16388.6  ,      34
16413.0  ,      62
16437.4  ,      45
16461.8  ,      46
16486.2  ,      38
16510.6  ,      37
16535.0  ,      43
16559.4  ,      37
16583.8  ,      50
16608.2  ,      43
16632.6  ,      51
16657.0  ,      43
16681.4  ,      60
16705.8  ,      49
16730.2  ,      52
16754.6  ,      56
16779.0  ,      52
16803.3  ,      73
16827.7  ,      69
16852.1  ,      71
16876.5  ,      74
16900.9  ,      97
16925.3  ,     115
16949.7  ,     113
16974.1  ,      98
16998.5  ,     108
17022.9  ,      97
17047.3  ,     131
17071.7  ,     115
17096.1  ,     136
17120.5  ,     132
17144.9  ,     139
17169.3  ,     113
17193.7  ,     119
17218.1  ,     121
17242.5  ,     116
17266.9  ,     108
17291.3  ,     107
17315.7  ,      87
17340.1  ,      89
17364.5  ,      91
17388.9  ,      71
17413.3  ,      70
17437.7  ,      64
17462.1  ,      51
17486.5  ,      43
17510.9  ,      53
17535.3  ,      57
17559.7  ,      55
17584.1  ,      47
17608.5  ,      50
17632.9  ,      43
17657.3  ,      61
17681.7  ,      64
17706.1  ,      44
17730.5  ,      53
17754.9  ,      30
17779.3  ,      21
17803.7  ,      25
17828.1  ,      35
17852.5  ,      21
17876.9  ,      25
17901.3  ,      15
17925.7  ,      20
17950.1  ,      24
17974.5  ,      25
17998.9  ,      23
18023.3  ,      24
18047.7  ,      27
18072.1  ,      27
18096.5  ,      19
18120.9  ,      33
18145.3  ,      44
18169.7  ,      64
18194.1  ,      68
18218.5  ,      88
18242.9  ,     124
18267.3  ,      91
18291.7  ,      98
18316.1  ,     113
18340.5  ,     109
18364.9  ,      84
18389.3  ,      71
18413.7  ,      43
18438.1  ,      33
18462.5  ,      31
18486.9  ,      29
18511.3  ,      18
18535.7  ,      13
18560.1  ,       7
18584.5  ,       6
18608.9  ,       6
18633.3  ,       1
18657.7  ,       5
18682.1  ,       8
18706.5  ,       4
18730.8  ,       9
18755.2  ,      10
18779.6  ,       5
18804.0  ,       8
18828.4  ,       7
18852.8  ,      10
18877.2  ,       9
18901.6  ,       7
18926.0  ,       6
18950.4  ,      13
18974.8  ,       6
18999.2  ,       6
19023.6  ,      11
19048.0  ,       5
19072.4  ,       9
19096.8  ,      10
19121.2  ,      10
19145.6  ,      10
19170.0  ,      10
19194.4  ,      12
19218.8  ,      10
19243.2  ,      15
19267.6  ,       9
19292.0  ,       7
19316.4  ,      14
19340.8  ,       9
19365.2  ,      12
19389.6  ,      15
19414.0  ,      18
19438.4  ,      13
19462.8  ,      21
19487.2  ,      14
19511.6  ,      18
19536.0  ,      21
19560.4  ,      20
19584.8  ,      26
19609.2  ,      35
19633.6  ,      24
19658.0  ,      31
19682.4  ,      35
19706.8  ,      27
19731.2  ,      31
19755.6  ,      19
19780.0  ,      31
19804.4  ,      27
19828.8  ,      22
19853.2  ,      33
19877.6  ,      17
19902.0  ,      28
19926.4  ,      28
19950.8  ,      29
19975.2  ,      23
19999.6  ,      39
20024.0  ,      26
20048.4  ,      25
20072.8  ,      16
20097.2  ,      33
20121.6  ,      24
20146.0  ,      16
20170.4  ,      16
20194.8  ,      16
20219.2  ,      22
20243.6  ,      14
20268.0  ,      20
20292.4  ,      15
20316.8  ,      15
20341.2  ,      12
20365.6  ,      24
20390.0  ,      21
20414.4  ,      12
20438.8  ,       9
20463.2  ,       9
20487.6  ,      10
20512.0  ,       7
20536.4  ,       9
20560.8  ,      10
20585.2  ,       7
20609.6  ,       8
20634.0  ,       7
20658.3  ,      19
20682.7  ,      12
20707.1  ,      12
20731.5  ,      11
20755.9  ,       9
20780.3  ,       8
20804.7  ,       8
20829.1  ,      11
20853.5  ,       5
20877.9  ,       4
20902.3  ,      11
20926.7  ,       5
20951.1  ,       7
20975.5  ,       8
20999.9  ,       5
21024.3  ,       5
21048.7  ,       3
21073.1  ,       2
21097.5  ,       5
21121.9  ,       7
21146.3  ,       7
21170.7  ,       8
21195.1  ,       3
21219.5  ,       6
21243.9  ,       9
21268.3  ,       6
21292.7  ,      16
21317.1  ,      10
21341.5  ,      19
21365.9  ,      18
21390.3  ,      12
21414.7  ,      15
21439.1  ,      27
21463.5  ,      23
21487.9  ,      14
21512.3  ,      12
21536.7  ,      11
21561.1  ,      13
21585.5  ,       5
21609.9  ,      10
21634.3  ,       2
21658.7  ,       3
21683.1  ,       3
21707.5  ,       3
21731.9  ,       5
21756.3  ,       3
21780.7  ,       2
21805.1  ,       2
21829.5  ,       5
21853.9  ,       4
21878.3  ,       5
21902.7  ,       2
21927.1  ,       4
21951.5  ,       3
21975.9  ,       1
22000.3  ,       4
22024.7  ,       4
22049.1  ,       8
22073.5  ,       2
22097.9  ,      11
22122.3  ,      12
22146.7  ,       4
22171.1  ,      12
22195.5  ,       5
22219.9  ,      11
22244.3  ,       3
22268.7  ,       2
22293.1  ,       3
22317.5  ,       2
22341.9  ,       5
22366.3  ,       3
22390.7  ,       2
22415.1  ,       2
22439.5  ,       3
22463.9  ,       4
22488.3  ,       0
22512.7  ,       2
22537.1  ,       2
22561.5  ,       2
22585.8  ,       1
22610.2  ,       3
22634.6  ,       2
22659.0  ,       0
22683.4  ,       3
22707.8  ,       1
22732.2  ,       0
22756.6  ,       1
22781.0  ,       2
22805.4  ,       3
22829.8  ,       4
22854.2  ,       1
22878.6  ,       0
22903.0  ,       2
22927.4  ,       3
22951.8  ,       1
22976.2  ,       3
23000.6  ,       3
23025.0  ,       2
23049.4  ,       0
23073.8  ,       1
23098.2  ,       3
23122.6  ,       1
23147.0  ,       1
23171.4  ,       1
23195.8  ,       2
23220.2  ,       0
23244.6  ,       1
23269.0  ,       3
23293.4  ,       8
23317.8  ,       1
23342.2  ,       1
23366.6  ,       1
23391.0  ,       4
23415.4  ,       2
23439.8  ,       2
23464.2  ,       4
23488.6  ,       2
23513.0  ,       4
23537.4  ,       3
23561.8  ,       1
23586.2  ,       4
23610.6  ,       2
23635.0  ,       3
23659.4  ,       1
23683.8  ,       3
23708.2  ,       3
23732.6  ,       1
23757.0  ,       1
23781.4  ,       2
23805.8  ,       1
23830.2  ,       5
23854.6  ,       2
23879.0  ,       1
23903.4  ,       3
23927.8  ,       1
23952.2  ,       3
23976.6  ,       3
24001.0  ,       2
24025.4  ,       0
24049.8  ,       4
24074.2  ,       3
24098.6  ,       4
24123.0  ,       1
24147.4  ,       5
24171.8  ,       2
24196.2  ,       1
24220.6  ,       3
24245.0  ,       2
