"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.31    ,  0.14  
MgO     ,  5.33    ,  0.17  
Al2O3   ,  7.75    ,  0.19  
SiO2    , 42.24    ,  0.43  
P2O5    ,  1.20    ,  0.07  
SO3     ,  9.53    ,  0.10  
Cl      ,  1.46    ,  0.03  
K2O     ,  0.79    ,  0.02  
CaO     ,  5.12    ,  0.06  
TiO2    ,  1.08    ,  0.03  
Cr2O3   ,  0.34    ,  0.01  
MnO     ,  0.28    ,  0.01  
FeO     , 22.17    ,  0.26  
Ni      ,  0.1090  ,  0.0055
Zn      ,  0.1664  ,  0.0050
Br      ,  0.0042  ,  0.0005
