"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.47    ,  0.14  
MgO     ,  6.27    ,  0.17  
Al2O3   ,  9.03    ,  0.19  
SiO2    , 47.36    ,  0.54  
P2O5    ,  0.99    ,  0.07  
SO3     ,  6.14    ,  0.15  
Cl      ,  0.99    ,  0.04  
K2O     ,  0.79    ,  0.02  
CaO     ,  4.35    ,  0.07  
TiO2    ,  1.08    ,  0.03  
Cr2O3   ,  0.30    ,  0.03  
MnO     ,  0.24    ,  0.03  
FeO     , 19.59    ,  0.26  
Ni      ,  0.1137  ,  0.0060
Zn      ,  0.1787  ,  0.0055
Br      ,  0.0213  ,  0.0010
