"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.58    ,  0.20  
MgO     ,  7.23    ,  0.25  
Al2O3   ,  8.74    ,  0.29  
SiO2    , 46.19    ,  0.64  
P2O5    ,  0.85    ,  0.07  
SO3     ,  4.08    ,  0.17  
Cl      ,  0.99    ,  0.06  
K2O     ,  0.81    ,  0.04  
CaO     ,  4.61    ,  0.10  
TiO2    ,  0.98    ,  0.07  
Cr2O3   ,  0.41    ,  0.05  
MnO     ,  0.24    ,  0.03  
FeO     , 21.84    ,  0.26  
Ni      ,  0.0703  ,  0.0070
Zn      ,  0.0881  ,  0.0050
Br      ,  0.0414  ,  0.0020
