"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.44    ,  0.14  
MgO     ,  4.32    ,  0.17  
Al2O3   ,  9.01    ,  0.19  
SiO2    , 47.49    ,  0.54  
P2O5    ,  0.67    ,  0.05  
SO3     ,  6.07    ,  0.08  
Cl      ,  0.69    ,  0.02  
K2O     ,  1.09    ,  0.04  
CaO     ,  4.45    ,  0.06  
TiO2    ,  1.13    ,  0.05  
Cr2O3   ,  0.34    ,  0.01  
MnO     ,  0.27    ,  0.01  
FeO     , 21.72    ,  0.26  
Ni      ,  0.1072  ,  0.0055
Zn      ,  0.1175  ,  0.0040
Br      ,  0.0057  ,  0.0005
