"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.67    ,  0.14  
MgO     ,  6.40    ,  0.17  
Al2O3   ,  8.60    ,  0.19  
SiO2    , 42.84    ,  0.54  
P2O5    ,  0.95    ,  0.07  
SO3     , 11.93    ,  0.12  
Cl      ,  1.74    ,  0.03  
K2O     ,  0.55    ,  0.02  
CaO     ,  6.89    ,  0.07  
TiO2    ,  0.98    ,  0.03  
Cr2O3   ,  0.30    ,  0.01  
MnO     ,  0.12    ,  0.01  
FeO     , 15.81    ,  0.20  
Ni      ,  0.0737  ,  0.0040
Zn      ,  0.0705  ,  0.0025
Br      ,  0.0138  ,  0.0005
