"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.84    ,  0.20  
MgO     ,  7.58    ,  0.25  
Al2O3   ,  8.88    ,  0.19  
SiO2    , 43.71    ,  0.64  
P2O5    ,  1.07    ,  0.07  
SO3     ,  9.47    ,  0.20  
Cl      ,  2.17    ,  0.06  
K2O     ,  0.76    ,  0.04  
CaO     ,  4.48    ,  0.08  
TiO2    ,  0.94    ,  0.07  
Cr2O3   ,  0.26    ,  0.03  
MnO     ,  0.18    ,  0.03  
FeO     , 17.31    ,  0.20  
Ni      ,  0.0818  ,  0.0045
Zn      ,  0.0671  ,  0.0030
Br      ,  0.0150  ,  0.0010
