"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.76    ,  0.07  
MgO     ,  4.22    ,  0.17  
Al2O3   ,  4.65    ,  0.10  
SiO2    , 23.38    ,  0.32  
P2O5    ,  0.78    ,  0.05  
SO3     , 32.62    ,  0.35  
Cl      ,  0.87    ,  0.02  
K2O     ,  0.34    ,  0.01  
CaO     , 23.51    ,  0.24  
TiO2    ,  0.35    ,  0.02  
Cr2O3   ,  0.12    ,  0.01  
MnO     ,  0.07    ,  0.01  
FeO     ,  7.16    ,  0.13  
Ni      ,  0.0256  ,  0.0015
Zn      ,  0.0360  ,  0.0015
Br      ,  0.0245  ,  0.0010
