"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.14    ,  0.07  
MgO     ,  5.41    ,  0.17  
Al2O3   ,  8.59    ,  0.19  
SiO2    , 47.38    ,  0.54  
P2O5    ,  0.77    ,  0.05  
SO3     ,  4.13    ,  0.08  
Cl      ,  0.49    ,  0.02  
K2O     ,  1.28    ,  0.05  
CaO     ,  3.85    ,  0.04  
TiO2    ,  1.30    ,  0.05  
Cr2O3   ,  0.40    ,  0.01  
MnO     ,  0.22    ,  0.01  
FeO     , 23.57    ,  0.26  
Ni      ,  0.1168  ,  0.0060
Zn      ,  0.2327  ,  0.0070
Br      ,  0.0153  ,  0.0005
