"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.53    ,  0.14  
MgO     ,  7.87    ,  0.17  
Al2O3   ,  9.00    ,  0.19  
SiO2    , 44.00    ,  0.54  
P2O5    ,  0.91    ,  0.05  
SO3     ,  5.08    ,  0.12  
Cl      ,  0.99    ,  0.03  
K2O     ,  0.82    ,  0.04  
CaO     ,  4.94    ,  0.07  
TiO2    ,  1.06    ,  0.05  
Cr2O3   ,  0.38    ,  0.03  
MnO     ,  0.27    ,  0.03  
FeO     , 21.85    ,  0.26  
Ni      ,  0.0706  ,  0.0040
Zn      ,  0.0763  ,  0.0025
Br      ,  0.0233  ,  0.0015
