"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.45    ,  0.14  
MgO     ,  9.36    ,  0.25  
Al2O3   ,  8.86    ,  0.19  
SiO2    , 39.54    ,  0.43  
P2O5    ,  0.59    ,  0.05  
SO3     ,  4.58    ,  0.08  
Cl      ,  0.81    ,  0.02  
K2O     ,  1.09    ,  0.04  
CaO     ,  7.10    ,  0.08  
TiO2    ,  0.87    ,  0.03  
Cr2O3   ,  0.42    ,  0.01  
MnO     ,  0.54    ,  0.03  
FeO     , 22.67    ,  0.26  
Ni      ,  0.0408  ,  0.0025
Zn      ,  0.0353  ,  0.0015
Br      ,  0.0077  ,  0.0005
