"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.49    ,  0.14  
MgO     ,  5.61    ,  0.17  
Al2O3   ,  9.36    ,  0.19  
SiO2    , 50.05    ,  0.54  
P2O5    ,  0.84    ,  0.05  
SO3     ,  6.23    ,  0.12  
Cl      ,  1.23    ,  0.03  
K2O     ,  1.09    ,  0.04  
CaO     ,  3.73    ,  0.04  
TiO2    ,  1.01    ,  0.03  
Cr2O3   ,  0.29    ,  0.01  
MnO     ,  0.32    ,  0.01  
FeO     , 17.48    ,  0.20  
Ni      ,  0.0920  ,  0.0050
Zn      ,  0.0987  ,  0.0030
Br      ,  0.0044  ,  0.0005
