"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.78    ,  0.14  
MgO     ,  9.43    ,  0.25  
Al2O3   ,  8.97    ,  0.19  
SiO2    , 41.52    ,  0.43  
P2O5    ,  0.93    ,  0.07  
SO3     ,  6.54    ,  0.08  
Cl      ,  1.05    ,  0.02  
K2O     ,  0.45    ,  0.02  
CaO     ,  6.59    ,  0.07  
TiO2    ,  0.95    ,  0.03  
Cr2O3   ,  0.39    ,  0.01  
MnO     ,  0.41    ,  0.01  
FeO     , 19.83    ,  0.26  
Ni      ,  0.0560  ,  0.0030
Zn      ,  0.0448  ,  0.0015
Br      ,  0.0046  ,  0.0005
