"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.85    ,  0.14  
MgO     ,  5.39    ,  0.17  
Al2O3   ,  8.26    ,  0.19  
SiO2    , 44.60    ,  0.54  
P2O5    ,  1.14    ,  0.07  
SO3     ,  9.22    ,  0.15  
Cl      ,  1.70    ,  0.04  
K2O     ,  0.76    ,  0.02  
CaO     ,  5.49    ,  0.06  
TiO2    ,  1.07    ,  0.03  
Cr2O3   ,  0.31    ,  0.03  
MnO     ,  0.14    ,  0.01  
FeO     , 18.81    ,  0.20  
Ni      ,  0.0929  ,  0.0050
Zn      ,  0.0988  ,  0.0030
Br      ,  0.0078  ,  0.0010
