"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.42    ,  0.14  
MgO     ,  6.04    ,  0.17  
Al2O3   ,  8.78    ,  0.19  
SiO2    , 39.78    ,  0.43  
P2O5    ,  0.89    ,  0.05  
SO3     ,  9.08    ,  0.10  
Cl      ,  1.45    ,  0.02  
K2O     ,  0.24    ,  0.01  
CaO     , 12.70    ,  0.14  
TiO2    ,  0.84    ,  0.03  
Cr2O3   ,  0.13    ,  0.01  
MnO     ,  0.38    ,  0.01  
FeO     , 17.05    ,  0.20  
Ni      ,  0.0510  ,  0.0030
Zn      ,  0.0862  ,  0.0030
Br      ,  0.0323  ,  0.0010
