"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.70    ,  0.14  
MgO     ,  5.79    ,  0.17  
Al2O3   ,  9.15    ,  0.19  
SiO2    , 46.16    ,  0.54  
P2O5    ,  0.73    ,  0.05  
SO3     ,  5.68    ,  0.12  
Cl      ,  2.04    ,  0.05  
K2O     ,  1.16    ,  0.04  
CaO     ,  4.28    ,  0.06  
TiO2    ,  1.15    ,  0.05  
Cr2O3   ,  0.32    ,  0.03  
MnO     ,  0.31    ,  0.03  
FeO     , 20.27    ,  0.26  
Ni      ,  0.0822  ,  0.0045
Zn      ,  0.1096  ,  0.0035
Br      ,  0.0029  ,  0.0010
