"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.56    ,  0.14  
MgO     ,  7.23    ,  0.17  
Al2O3   ,  8.66    ,  0.19  
SiO2    , 45.02    ,  0.54  
P2O5    ,  0.85    ,  0.05  
SO3     ,  5.32    ,  0.10  
Cl      ,  1.00    ,  0.03  
K2O     ,  0.80    ,  0.02  
CaO     ,  4.85    ,  0.06  
TiO2    ,  1.06    ,  0.03  
Cr2O3   ,  0.38    ,  0.03  
MnO     ,  0.26    ,  0.03  
FeO     , 21.72    ,  0.26  
Ni      ,  0.0888  ,  0.0045
Zn      ,  0.0905  ,  0.0030
Br      ,  0.0566  ,  0.0020
