"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.79    ,  0.14  
MgO     ,  8.23    ,  0.17  
Al2O3   , 10.03    ,  0.29  
SiO2    , 44.25    ,  0.54  
P2O5    ,  0.94    ,  0.07  
SO3     ,  5.27    ,  0.08  
Cl      ,  0.68    ,  0.02  
K2O     ,  0.56    ,  0.02  
CaO     ,  7.37    ,  0.08  
TiO2    ,  0.88    ,  0.03  
Cr2O3   ,  0.31    ,  0.01  
MnO     ,  0.35    ,  0.01  
FeO     , 18.16    ,  0.20  
Ni      ,  0.0862  ,  0.0045
Zn      ,  0.0269  ,  0.0010
Br      ,  0.0096  ,  0.0005
