"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.08    ,  0.14  
MgO     ,  9.45    ,  0.25  
Al2O3   ,  8.65    ,  0.19  
SiO2    , 43.16    ,  0.54  
P2O5    ,  0.64    ,  0.05  
SO3     ,  4.05    ,  0.10  
Cl      ,  1.54    ,  0.05  
K2O     ,  2.41    ,  0.08  
CaO     ,  5.77    ,  0.08  
TiO2    ,  0.91    ,  0.03  
Cr2O3   ,  0.47    ,  0.03  
MnO     ,  0.20    ,  0.03  
FeO     , 20.52    ,  0.26  
Ni      ,  0.0158  ,  0.0030
Zn      ,  0.0756  ,  0.0030
Br      ,  0.0093  ,  0.0010
