"oxide",  "APXS analysis ver 2a","statistical uncertainty (precision)"
Na2O    ,  2.55    ,  0.14  
MgO     ,  9.85    ,  0.25  
Al2O3   ,  8.46    ,  0.19  
SiO2    , 44.48    ,  0.64  
P2O5    ,  0.86    ,  0.07  
SO3     ,  3.61    ,  0.12  
Cl      ,  0.64    ,  0.04  
K2O     ,  0.39    ,  0.02  
CaO     ,  6.81    ,  0.10  
TiO2    ,  0.96    ,  0.07  
Cr2O3   ,  0.30    ,  0.03  
MnO     ,  0.38    ,  0.04  
FeO     , 20.61    ,  0.26  
Ni      ,  0.0822  ,  0.0055
Zn      ,  0.0209  ,  0.0025
Br      ,  0.0060  ,  0.0010
