"oxide",  "APXS analysis ver 2a","statistical uncertainty (precision)"
Na2O    ,  2.27    ,  0.14  
MgO     ,  9.97    ,  0.25  
Al2O3   ,  8.49    ,  0.19  
SiO2    , 44.56    ,  0.54  
P2O5    ,  0.76    ,  0.05  
SO3     ,  3.28    ,  0.05  
Cl      ,  0.51    ,  0.02  
K2O     ,  0.35    ,  0.01  
CaO     ,  7.04    ,  0.08  
TiO2    ,  0.90    ,  0.03  
Cr2O3   ,  0.53    ,  0.01  
MnO     ,  0.40    ,  0.02  
FeO     , 20.76    ,  0.26  
Ni      ,  0.0490  ,  0.0025
Zn      ,  0.0228  ,  0.0010
Br      ,  0.0020  ,  0.0010
