"Target: Weissrand, Contains DAT files: APB_502475789ESC11830511298_______M1.DAT"
 7173.9  ,    1749
 7198.3  ,     857
 7222.7  ,     425
 7247.1  ,     252
 7271.5  ,     186
 7295.9  ,     143
 7320.3  ,     182
 7344.7  ,     208
 7369.1  ,     274
 7393.5  ,     331
 7417.9  ,     374
 7442.3  ,     391
 7466.7  ,     391
 7491.1  ,     399
 7515.5  ,     329
 7539.9  ,     262
 7564.2  ,     195
 7588.6  ,     148
 7613.0  ,     142
 7637.4  ,     116
 7661.8  ,      94
 7686.2  ,      94
 7710.6  ,     116
 7735.0  ,     102
 7759.4  ,     112
 7783.8  ,     118
 7808.2  ,     140
 7832.6  ,     111
 7857.0  ,     124
 7881.4  ,     115
 7905.8  ,     111
 7930.2  ,     145
 7954.6  ,     138
 7979.0  ,     118
 8003.4  ,     117
 8027.8  ,     151
 8052.2  ,     139
 8076.6  ,     134
 8101.0  ,     133
 8125.4  ,     122
 8149.8  ,     103
 8174.2  ,     138
 8198.6  ,     148
 8223.0  ,     147
 8247.4  ,     144
 8271.8  ,     166
 8296.2  ,     146
 8320.6  ,     133
 8345.0  ,     132
 8369.4  ,     138
 8393.8  ,     105
 8418.2  ,      95
 8442.6  ,     116
 8467.0  ,     132
 8491.4  ,     156
 8515.8  ,     201
 8540.2  ,     230
 8564.6  ,     281
 8589.0  ,     284
 8613.4  ,     335
 8637.8  ,     316
 8662.2  ,     282
 8686.6  ,     233
 8711.0  ,     195
 8735.4  ,     144
 8759.8  ,     130
 8784.2  ,     106
 8808.6  ,     111
 8833.0  ,     100
 8857.3  ,      93
 8881.7  ,     108
 8906.1  ,     106
 8930.5  ,     116
 8954.9  ,     118
 8979.3  ,     117
 9003.7  ,     107
 9028.1  ,      99
 9052.5  ,     107
 9076.9  ,     115
 9101.3  ,     120
 9125.7  ,     111
 9150.1  ,     106
 9174.5  ,     120
 9198.9  ,     127
 9223.3  ,     135
 9247.7  ,     125
 9272.1  ,     117
 9296.5  ,     123
 9320.9  ,     133
 9345.3  ,     112
 9369.7  ,     109
 9394.1  ,     126
 9418.5  ,     104
 9442.9  ,      84
 9467.3  ,     130
 9491.7  ,     130
 9516.1  ,     128
 9540.5  ,     139
 9564.9  ,     139
 9589.3  ,     117
 9613.7  ,     135
 9638.1  ,     146
 9662.5  ,     105
 9686.9  ,     110
 9711.3  ,      98
 9735.7  ,     107
 9760.1  ,      97
 9784.5  ,      94
 9808.9  ,      93
 9833.3  ,     107
 9857.7  ,     114
 9882.1  ,     100
 9906.5  ,      85
 9930.9  ,     117
 9955.3  ,     100
 9979.7  ,      83
10004.1  ,     100
10028.5  ,      98
10052.9  ,      80
10077.3  ,     104
10101.7  ,      91
10126.0  ,      87
10150.4  ,     114
10174.8  ,     100
10199.2  ,     102
10223.6  ,      94
10248.0  ,     105
10272.4  ,     111
10296.8  ,      93
10321.2  ,     102
10345.6  ,     113
10370.0  ,      96
10394.4  ,     110
10418.8  ,     100
10443.2  ,     123
10467.6  ,     116
10492.0  ,     118
10516.4  ,     131
10540.8  ,     134
10565.2  ,     116
10589.6  ,      96
10614.0  ,     102
10638.4  ,     110
10662.8  ,     104
10687.2  ,     110
10711.6  ,     107
10736.0  ,      92
10760.4  ,      92
10784.8  ,     101
10809.2  ,     103
10833.6  ,     103
10858.0  ,      87
10882.4  ,     107
10906.8  ,     111
10931.2  ,      97
10955.6  ,      95
10980.0  ,     105
11004.4  ,     107
11028.8  ,     103
11053.2  ,     100
11077.6  ,     114
11102.0  ,     100
11126.4  ,     116
11150.8  ,     103
11175.2  ,     118
