"oxide",  "APXS analysis ver 2a","statistical uncertainty (precision)"
Na2O    ,  2.74    ,  0.14  
MgO     ,  8.98    ,  0.25  
Al2O3   ,  9.83    ,  0.29  
SiO2    , 45.69    ,  0.54  
P2O5    ,  0.77    ,  0.05  
SO3     ,  3.19    ,  0.05  
Cl      ,  0.51    ,  0.02  
K2O     ,  0.43    ,  0.02  
CaO     ,  7.29    ,  0.08  
TiO2    ,  0.89    ,  0.03  
Cr2O3   ,  0.43    ,  0.01  
MnO     ,  0.41    ,  0.02  
FeO     , 18.83    ,  0.20  
Ni      ,  0.0496  ,  0.0025
Zn      ,  0.0197  ,  0.0010
Br      ,  0.0032  ,  0.0005
