"Target: Maya, Contains DAT files: APB_430653584ESC03740140000_______M4.DAT"
 7351.6  ,      71
 7375.9  ,      77
 7400.3  ,      85
 7424.7  ,      99
 7449.0  ,      87
 7473.4  ,      91
 7497.7  ,     100
 7522.1  ,      78
 7546.4  ,      62
 7570.8  ,      65
 7595.1  ,      52
 7619.5  ,      36
 7643.8  ,      41
 7668.2  ,      41
 7692.5  ,      43
 7716.9  ,      43
 7741.2  ,      42
 7765.6  ,      44
 7790.0  ,      41
 7814.3  ,      48
 7838.7  ,      50
 7863.0  ,      53
 7887.4  ,      47
 7911.7  ,      55
 7936.1  ,      47
 7960.4  ,      45
 7984.8  ,      43
 8009.1  ,      52
 8033.5  ,      51
 8057.8  ,      62
 8082.2  ,      46
 8106.5  ,      52
 8130.9  ,      44
 8155.3  ,      39
 8179.6  ,      44
 8204.0  ,      56
 8228.3  ,      55
 8252.7  ,      46
 8277.0  ,      61
 8301.4  ,      47
 8325.7  ,      51
 8350.1  ,      36
 8374.4  ,      44
 8398.8  ,      53
 8423.1  ,      40
 8447.5  ,      57
 8471.8  ,      57
 8496.2  ,      85
 8520.5  ,      89
 8544.9  ,     100
 8569.3  ,     146
 8593.6  ,     139
 8618.0  ,     151
 8642.3  ,     156
 8666.7  ,     124
 8691.0  ,     111
 8715.4  ,      94
 8739.7  ,      79
 8764.1  ,      68
 8788.4  ,      46
 8812.8  ,      41
 8837.1  ,      43
 8861.5  ,      48
 8885.8  ,      49
 8910.2  ,      40
 8934.6  ,      54
 8958.9  ,      37
 8983.3  ,      43
 9007.6  ,      44
 9032.0  ,      46
 9056.3  ,      49
 9080.7  ,      54
 9105.0  ,      55
 9129.4  ,      50
 9153.7  ,      48
 9178.1  ,      58
 9202.4  ,      58
 9226.8  ,      60
 9251.1  ,      57
 9275.5  ,      51
 9299.8  ,      52
 9324.2  ,      44
 9348.6  ,      41
 9372.9  ,      38
 9397.3  ,      47
 9421.6  ,      37
 9446.0  ,      61
 9470.3  ,      60
 9494.7  ,      54
 9519.0  ,      58
 9543.4  ,      60
 9567.7  ,      65
 9592.1  ,      47
 9616.4  ,      61
 9640.8  ,      38
 9665.1  ,      48
 9689.5  ,      38
 9713.9  ,      52
 9738.2  ,      43
 9762.6  ,      38
 9786.9  ,      50
 9811.3  ,      65
 9835.6  ,      43
 9860.0  ,      55
 9884.3  ,      68
 9908.7  ,      59
 9933.0  ,      41
 9957.4  ,      62
 9981.7  ,      49
10006.1  ,      49
10030.4  ,      44
10054.8  ,      60
10079.2  ,      37
10103.5  ,      39
10127.9  ,      42
10152.2  ,      28
10176.6  ,      35
10200.9  ,      43
10225.3  ,      32
10249.6  ,      47
10274.0  ,      46
10298.3  ,      35
10322.7  ,      49
10347.0  ,      40
10371.4  ,      38
10395.7  ,      46
10420.1  ,      50
10444.4  ,      34
10468.8  ,      56
10493.2  ,      48
10517.5  ,      43
10541.9  ,      57
10566.2  ,      50
10590.6  ,      57
10614.9  ,      36
10639.3  ,      46
10663.6  ,      39
10688.0  ,      39
10712.3  ,      51
10736.7  ,      41
10761.0  ,      43
10785.4  ,      46
10809.7  ,      46
10834.1  ,      40
10858.5  ,      36
10882.8  ,      41
10907.2  ,      37
10931.5  ,      48
10955.9  ,      40
10980.2  ,      44
11004.6  ,      44
11028.9  ,      44
11053.3  ,      51
11077.6  ,      54
11102.0  ,      48
11126.3  ,      48
11150.7  ,      60
11175.0  ,      49
11199.4  ,      60
11223.8  ,      52
11248.1  ,      55
11272.5  ,      57
11296.8  ,      52
11321.2  ,      42
11345.5  ,      70
11369.9  ,      69
11394.2  ,      69
11418.6  ,      71
11442.9  ,      55
11467.3  ,      63
11491.6  ,      72
11516.0  ,      72
11540.3  ,      66
11564.7  ,      83
11589.0  ,      61
11613.4  ,      74
11637.8  ,      75
11662.1  ,      79
11686.5  ,      58
11710.8  ,      70
11735.2  ,      76
11759.5  ,      66
11783.9  ,      80
11808.2  ,      74
11832.6  ,      79
11856.9  ,     104
11881.3  ,      87
11905.6  ,      96
11930.0  ,     110
11954.3  ,     108
11978.7  ,      83
12003.1  ,     109
12027.4  ,     108
12051.8  ,     122
12076.1  ,     119
12100.5  ,     130
12124.8  ,     123
12149.2  ,      86
12173.5  ,      91
12197.9  ,      78
12222.2  ,      70
12246.6  ,      74
12270.9  ,      79
12295.3  ,      61
12319.6  ,      57
12344.0  ,      66
12368.3  ,      59
12392.7  ,      70
12417.1  ,      60
12441.4  ,      66
12465.8  ,      58
12490.1  ,      58
12514.5  ,      67
12538.8  ,      68
12563.2  ,      85
12587.5  ,      83
12611.9  ,      77
12636.2  ,      75
12660.6  ,      97
12684.9  ,      78
12709.3  ,      79
12733.6  ,      86
12758.0  ,      95
12782.4  ,     102
12806.7  ,      96
12831.1  ,      96
12855.4  ,     102
12879.8  ,     137
12904.1  ,     124
12928.5  ,     148
12952.8  ,     148
12977.2  ,     132
13001.5  ,     158
13025.9  ,     163
13050.2  ,     181
13074.6  ,     180
13098.9  ,     201
13123.3  ,     200
13147.7  ,     235
13172.0  ,     277
13196.4  ,     324
13220.7  ,     355
13245.1  ,     429
13269.4  ,     405
13293.8  ,     472
13318.1  ,     494
13342.5  ,     517
13366.8  ,     576
13391.2  ,     608
13415.5  ,     675
13439.9  ,     679
13464.2  ,     679
13488.6  ,     697
13512.9  ,     720
13537.3  ,     647
13561.7  ,     624
13586.0  ,     570
13610.4  ,     608
13634.7  ,     570
13659.1  ,     531
13683.4  ,     474
13707.8  ,     475
13732.1  ,     434
13756.5  ,     368
13780.8  ,     338
13805.2  ,     319
13829.5  ,     243
13853.9  ,     263
13878.2  ,     253
13902.6  ,     231
13927.0  ,     231
13951.3  ,     252
13975.7  ,     274
14000.0  ,     318
14024.4  ,     318
14048.7  ,     383
14073.1  ,     440
14097.4  ,     493
14121.8  ,     554
14146.1  ,     641
14170.5  ,     756
14194.8  ,     766
14219.2  ,     901
14243.5  ,     916
14267.9  ,     886
14292.3  ,     817
14316.6  ,     794
14341.0  ,     680
14365.3  ,     567
14389.7  ,     398
14414.0  ,     296
14438.4  ,     213
14462.7  ,     149
14487.1  ,     122
14511.4  ,      92
14535.8  ,      73
14560.1  ,      75
14584.5  ,      49
14608.8  ,      58
14633.2  ,      71
14657.5  ,      60
14681.9  ,      55
14706.3  ,      53
14730.6  ,      77
14755.0  ,      70
14779.3  ,      71
14803.7  ,      75
14828.0  ,      67
14852.4  ,      63
14876.7  ,      82
14901.1  ,      79
14925.4  ,      80
14949.8  ,      75
14974.1  ,      98
14998.5  ,      95
15022.8  ,      87
15047.2  ,      85
15071.6  ,      91
15095.9  ,     101
15120.3  ,     101
15144.6  ,      87
15169.0  ,     110
15193.3  ,      85
15217.7  ,     106
15242.0  ,     102
15266.4  ,     104
15290.7  ,     112
15315.1  ,     117
15339.4  ,     127
15363.8  ,     127
15388.1  ,     144
15412.5  ,     130
15436.9  ,     151
15461.2  ,     193
15485.6  ,     221
15509.9  ,     325
15534.3  ,     380
15558.6  ,     571
15583.0  ,     689
15607.3  ,     914
15631.7  ,    1171
15656.0  ,    1318
15680.4  ,    1485
15704.7  ,    1661
15729.1  ,    1861
15753.4  ,    1741
15777.8  ,    1651
15802.1  ,    1453
15826.5  ,    1348
15850.9  ,    1138
15875.2  ,     850
15899.6  ,     661
15923.9  ,     504
15948.3  ,     388
15972.6  ,     343
15997.0  ,     338
16021.3  ,     273
16045.7  ,     270
16070.0  ,     289
16094.4  ,     272
16118.7  ,     267
16143.1  ,     297
16167.4  ,     307
16191.8  ,     320
16216.2  ,     326
16240.5  ,     336
16264.9  ,     343
16289.2  ,     337
16313.6  ,     321
16337.9  ,     342
16362.3  ,     327
16386.6  ,     325
16411.0  ,     329
16435.3  ,     323
16459.7  ,     368
16484.0  ,     323
16508.4  ,     339
16532.7  ,     302
16557.1  ,     330
16581.4  ,     316
16605.8  ,     310
16630.2  ,     349
16654.5  ,     391
16678.9  ,     365
16703.2  ,     466
16727.6  ,     458
16751.9  ,     528
16776.3  ,     504
16800.6  ,     565
16825.0  ,     570
16849.3  ,     592
16873.7  ,     639
16898.0  ,     670
16922.4  ,     699
16946.7  ,     755
16971.1  ,     810
16995.5  ,     780
17019.8  ,     796
17044.2  ,     806
17068.5  ,     859
17092.9  ,     892
17117.2  ,     857
17141.6  ,     835
17165.9  ,     856
17190.3  ,     889
17214.6  ,     861
17239.0  ,     813
17263.3  ,     783
17287.7  ,     733
17312.0  ,     701
17336.4  ,     592
17360.8  ,     571
17385.1  ,     543
17409.5  ,     479
17433.8  ,     458
17458.2  ,     417
17482.5  ,     412
17506.9  ,     406
17531.2  ,     460
17555.6  ,     471
17579.9  ,     469
17604.3  ,     489
17628.6  ,     488
17653.0  ,     497
17677.3  ,     434
17701.7  ,     447
17726.0  ,     389
17750.4  ,     366
17774.8  ,     329
17799.1  ,     262
17823.5  ,     242
17847.8  ,     206
17872.2  ,     202
17896.5  ,     195
17920.9  ,     187
17945.2  ,     181
17969.6  ,     163
17993.9  ,     168
18018.3  ,     176
18042.6  ,     181
18067.0  ,     177
18091.3  ,     219
18115.7  ,     295
18140.1  ,     330
18164.4  ,     363
18188.8  ,     503
18213.1  ,     577
18237.5  ,     615
18261.8  ,     705
18286.2  ,     741
18310.5  ,     699
18334.9  ,     559
18359.2  ,     537
18383.6  ,     483
18407.9  ,     362
18432.3  ,     312
18456.6  ,     204
18481.0  ,     174
18505.4  ,     109
18529.7  ,      95
18554.1  ,      77
18578.4  ,      67
18602.8  ,      59
18627.1  ,      53
18651.5  ,      51
18675.8  ,      63
18700.2  ,      61
18724.5  ,      68
18748.9  ,      56
18773.2  ,      45
18797.6  ,      49
18821.9  ,      51
18846.3  ,      56
18870.6  ,      69
18895.0  ,      51
18919.4  ,      62
18943.7  ,      78
18968.1  ,      52
