"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.31    ,  0.14  
MgO     ,  6.04    ,  0.17  
Al2O3   ,  8.43    ,  0.19  
SiO2    , 49.05    ,  0.54  
P2O5    ,  0.87    ,  0.05  
SO3     ,  3.30    ,  0.05  
Cl      ,  1.51    ,  0.02  
K2O     ,  1.00    ,  0.04  
CaO     ,  2.86    ,  0.04  
TiO2    ,  1.15    ,  0.05  
Cr2O3   ,  0.35    ,  0.01  
MnO     ,  0.20    ,  0.01  
FeO     , 22.40    ,  0.26  
Ni      ,  0.0763  ,  0.0040
Zn      ,  0.2389  ,  0.0075
Br      ,  0.1256  ,  0.0040
