"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.71    ,  0.14  
MgO     ,  5.73    ,  0.17  
Al2O3   , 10.39    ,  0.29  
SiO2    , 53.98    ,  0.64  
P2O5    ,  0.89    ,  0.05  
SO3     ,  3.02    ,  0.05  
Cl      ,  0.66    ,  0.02  
K2O     ,  1.02    ,  0.04  
CaO     ,  3.33    ,  0.04  
TiO2    ,  1.00    ,  0.03  
Cr2O3   ,  0.30    ,  0.01  
MnO     ,  0.25    ,  0.01  
FeO     , 16.43    ,  0.20  
Ni      ,  0.0933  ,  0.0050
Zn      ,  0.0861  ,  0.0030
Br      ,  0.0350  ,  0.0015
