"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.40    ,  0.20  
MgO     ,  6.42    ,  0.17  
Al2O3   ,  8.67    ,  0.19  
SiO2    , 43.97    ,  0.54  
P2O5    ,  0.88    ,  0.07  
SO3     ,  8.56    ,  0.20  
Cl      ,  1.38    ,  0.05  
K2O     ,  0.93    ,  0.04  
CaO     ,  5.53    ,  0.08  
TiO2    ,  1.15    ,  0.05  
Cr2O3   ,  0.31    ,  0.03  
MnO     ,  0.10    ,  0.03  
FeO     , 19.45    ,  0.26  
Ni      ,  0.0882  ,  0.0055
Zn      ,  0.0651  ,  0.0035
Br      ,  0.0202  ,  0.0015
