"oxide",  "APXS analysis ver 2a","statistical uncertainty (precision)"
Na2O    ,  2.71    ,  0.14  
MgO     ,  5.62    ,  0.17  
Al2O3   ,  9.31    ,  0.19  
SiO2    , 51.24    ,  0.54  
P2O5    ,  0.74    ,  0.05  
SO3     ,  4.92    ,  0.05  
Cl      ,  1.38    ,  0.02  
K2O     ,  0.93    ,  0.04  
CaO     ,  4.02    ,  0.04  
TiO2    ,  1.06    ,  0.03  
Cr2O3   ,  0.30    ,  0.01  
MnO     ,  0.33    ,  0.02  
FeO     , 17.17    ,  0.20  
Ni      ,  0.1158  ,  0.0060
Zn      ,  0.1088  ,  0.0035
Br      ,  0.0352  ,  0.0015
