"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.41    ,  0.14  
MgO     ,  5.07    ,  0.17  
Al2O3   ,  8.95    ,  0.19  
SiO2    , 48.07    ,  0.54  
P2O5    ,  0.88    ,  0.07  
SO3     ,  5.67    ,  0.17  
Cl      ,  1.17    ,  0.05  
K2O     ,  0.95    ,  0.04  
CaO     ,  3.81    ,  0.08  
TiO2    ,  1.05    ,  0.05  
Cr2O3   ,  0.32    ,  0.03  
MnO     ,  0.14    ,  0.03  
FeO     , 21.17    ,  0.26  
Ni      ,  0.0861  ,  0.0055
Zn      ,  0.1580  ,  0.0050
Br      ,  0.0135  ,  0.0015
