"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  5.01    ,  0.20  
MgO     ,  3.69    ,  0.08  
Al2O3   , 15.18    ,  0.38  
SiO2    , 49.34    ,  0.54  
P2O5    ,  0.78    ,  0.05  
SO3     ,  3.27    ,  0.05  
Cl      ,  0.88    ,  0.02  
K2O     ,  1.89    ,  0.06  
CaO     ,  6.15    ,  0.07  
TiO2    ,  1.19    ,  0.05  
Cr2O3   ,  0.04    ,  0.01  
MnO     ,  0.27    ,  0.01  
FeO     , 12.19    ,  0.13  
Ni      ,  0.0131  ,  0.0010
Zn      ,  0.0254  ,  0.0010
Br      ,  0.0051  ,  0.0005
