"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.48    ,  0.14  
MgO     ,  5.74    ,  0.17  
Al2O3   , 10.43    ,  0.29  
SiO2    , 50.27    ,  0.54  
P2O5    ,  0.85    ,  0.05  
SO3     ,  6.97    ,  0.08  
Cl      ,  0.88    ,  0.02  
K2O     ,  0.72    ,  0.02  
CaO     ,  5.06    ,  0.06  
TiO2    ,  0.98    ,  0.03  
Cr2O3   ,  0.38    ,  0.01  
MnO     ,  0.22    ,  0.01  
FeO     , 14.72    ,  0.20  
Ni      ,  0.0847  ,  0.0045
Zn      ,  0.1317  ,  0.0040
Br      ,  0.0328  ,  0.0010
