"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.62    ,  0.14  
MgO     ,  5.11    ,  0.17  
Al2O3   , 10.11    ,  0.29  
SiO2    , 52.54    ,  0.54  
P2O5    ,  0.77    ,  0.05  
SO3     ,  5.66    ,  0.08  
Cl      ,  1.24    ,  0.02  
K2O     ,  0.80    ,  0.02  
CaO     ,  3.60    ,  0.04  
TiO2    ,  0.94    ,  0.03  
Cr2O3   ,  0.32    ,  0.01  
MnO     ,  0.09    ,  0.01  
FeO     , 15.91    ,  0.20  
Ni      ,  0.1029  ,  0.0055
Zn      ,  0.0914  ,  0.0030
Br      ,  0.0086  ,  0.0005
