"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.57    ,  0.14  
MgO     ,  4.29    ,  0.17  
Al2O3   ,  9.64    ,  0.29  
SiO2    , 51.58    ,  0.54  
P2O5    ,  0.79    ,  0.05  
SO3     ,  5.63    ,  0.12  
Cl      ,  0.92    ,  0.03  
K2O     ,  0.89    ,  0.04  
CaO     ,  4.84    ,  0.07  
TiO2    ,  0.88    ,  0.03  
Cr2O3   ,  0.28    ,  0.03  
MnO     ,  0.15    ,  0.01  
FeO     , 17.31    ,  0.20  
Ni      ,  0.0930  ,  0.0050
Zn      ,  0.0661  ,  0.0025
Br      ,  0.0060  ,  0.0005
