"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.19    ,  0.14  
MgO     ,  4.02    ,  0.08  
Al2O3   ,  8.88    ,  0.19  
SiO2    , 49.18    ,  0.54  
P2O5    ,  0.91    ,  0.05  
SO3     ,  8.95    ,  0.10  
Cl      ,  0.77    ,  0.02  
K2O     ,  0.94    ,  0.04  
CaO     ,  5.59    ,  0.06  
TiO2    ,  1.06    ,  0.03  
Cr2O3   ,  0.29    ,  0.01  
MnO     ,  0.11    ,  0.01  
FeO     , 16.84    ,  0.20  
Ni      ,  0.0845  ,  0.0045
Zn      ,  0.0907  ,  0.0030
Br      ,  0.0075  ,  0.0005
