"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.12    ,  0.48  
MgO     , 18.29    ,  0.42  
Al2O3   ,  4.31    ,  0.29  
SiO2    , 33.69    ,  0.54  
P2O5    ,  0.69    ,  0.07  
SO3     ,  4.44    ,  0.17  
Cl      ,  3.19    ,  0.09  
K2O     ,  2.43    ,  0.08  
CaO     ,  4.20    ,  0.10  
TiO2    ,  0.91    ,  0.05  
Cr2O3   ,  0.28    ,  0.05  
MnO     ,  4.54    ,  0.11  
FeO     , 20.64    ,  0.26  
Ni      ,  0.1287  ,  0.0080
Zn      ,  0.8490  ,  0.0255
Br      ,  0.1689  ,  0.0055
