"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.02    ,  0.20  
MgO     , 17.79    ,  0.42  
Al2O3   ,  4.50    ,  0.19  
SiO2    , 34.06    ,  0.43  
P2O5    ,  0.76    ,  0.07  
SO3     ,  4.67    ,  0.15  
Cl      ,  3.26    ,  0.08  
K2O     ,  2.31    ,  0.07  
CaO     ,  4.20    ,  0.08  
TiO2    ,  0.77    ,  0.05  
Cr2O3   ,  0.35    ,  0.03  
MnO     ,  3.81    ,  0.08  
FeO     , 21.21    ,  0.26  
Ni      ,  0.1033  ,  0.0065
Zn      ,  0.7160  ,  0.0215
Br      ,  0.1803  ,  0.0055
