"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.04    ,  0.34  
MgO     , 17.90    ,  0.42  
Al2O3   ,  4.20    ,  0.29  
SiO2    , 34.43    ,  0.54  
P2O5    ,  0.65    ,  0.07  
SO3     ,  4.46    ,  0.17  
Cl      ,  3.44    ,  0.09  
K2O     ,  2.53    ,  0.08  
CaO     ,  4.32    ,  0.08  
TiO2    ,  0.90    ,  0.05  
Cr2O3   ,  0.36    ,  0.05  
MnO     ,  3.15    ,  0.07  
FeO     , 21.48    ,  0.26  
Ni      ,  0.0830  ,  0.0070
Zn      ,  0.7828  ,  0.0235
Br      ,  0.1851  ,  0.0060
