"Target: Stephen_Raster2, Contains DAT files: APB_453331693ESC06290311330_______M1.DAT"
  486.0  ,     968
  510.4  ,       0
  534.8  ,       0
  559.2  ,       0
  583.6  ,       0
  608.0  ,     116
  632.4  ,       0
  656.8  ,       0
  681.2  ,       6
  705.5  ,     209
  729.9  ,     226
  754.3  ,     245
  778.7  ,     196
  803.1  ,     196
  827.5  ,     196
  851.9  ,     219
  876.3  ,     255
  900.7  ,     239
  925.1  ,     271
  949.5  ,     344
  973.9  ,     422
  998.3  ,     486
 1022.7  ,     527
 1047.1  ,     577
 1071.5  ,     551
 1095.9  ,     567
 1120.3  ,     825
 1144.6  ,    1350
 1169.0  ,    2088
 1193.4  ,    3168
 1217.8  ,    3982
 1242.2  ,    4343
 1266.6  ,    4130
 1291.0  ,    3238
 1315.4  ,    2246
 1339.8  ,    1410
 1364.2  ,    1021
 1388.6  ,    1015
 1413.0  ,    1245
 1437.4  ,    1537
 1461.8  ,    1798
 1486.2  ,    1723
 1510.6  ,    1720
 1535.0  ,    1385
 1559.4  ,    1163
 1583.7  ,    1177
 1608.1  ,    1770
 1632.5  ,    2880
 1656.9  ,    4582
 1681.3  ,    6809
 1705.7  ,    8518
 1730.1  ,    9215
 1754.5  ,    8360
 1778.9  ,    6473
 1803.3  ,    4464
 1827.7  ,    2779
 1852.1  ,    1521
 1876.5  ,     827
 1900.9  ,     527
 1925.3  ,     315
 1949.7  ,     260
 1974.1  ,     249
 1998.4  ,     230
 2022.8  ,     189
 2047.2  ,     197
 2071.6  ,     179
 2096.0  ,     141
 2120.4  ,     130
 2144.8  ,     132
 2169.2  ,     161
 2193.6  ,     238
 2218.0  ,     354
 2242.4  ,     461
 2266.8  ,     562
 2291.2  ,     649
 2315.6  ,     645
 2340.0  ,     537
 2364.4  ,     391
 2388.8  ,     308
 2413.2  ,     239
 2437.5  ,     207
 2461.9  ,     199
 2486.3  ,     227
 2510.7  ,     359
 2535.1  ,     547
 2559.5  ,     657
 2583.9  ,     868
 2608.3  ,     907
 2632.7  ,     849
 2657.1  ,     744
 2681.5  ,     544
 2705.9  ,     382
 2730.3  ,     255
 2754.7  ,     164
 2779.1  ,     152
 2803.5  ,     135
 2827.9  ,     120
 2852.3  ,     127
 2876.6  ,     117
 2901.0  ,     119
 2925.4  ,      92
 2949.8  ,      84
 2974.2  ,      57
 2998.6  ,      66
 3023.0  ,      55
 3047.4  ,      42
 3071.8  ,      49
 3096.2  ,      43
 3120.6  ,      62
 3145.0  ,      80
 3169.4  ,     121
 3193.8  ,     187
 3218.2  ,     284
 3242.6  ,     372
 3267.0  ,     441
 3291.3  ,     523
 3315.7  ,     535
 3340.1  ,     477
 3364.5  ,     346
 3388.9  ,     259
 3413.3  ,     187
 3437.7  ,     121
 3462.1  ,     107
 3486.5  ,     106
 3510.9  ,     167
 3535.3  ,     197
 3559.7  ,     250
 3584.1  ,     318
 3608.5  ,     484
 3632.9  ,     540
 3657.3  ,     692
 3681.7  ,     675
 3706.1  ,     672
 3730.4  ,     464
 3754.8  ,     360
 3779.2  ,     237
 3803.6  ,     164
 3828.0  ,     109
 3852.4  ,      94
 3876.8  ,      65
 3901.2  ,      56
 3925.6  ,      86
 3950.0  ,      87
 3974.4  ,      95
 3998.8  ,     128
 4023.2  ,     107
 4047.6  ,     118
 4072.0  ,      73
 4096.4  ,      96
 4120.8  ,      58
 4145.1  ,      42
 4169.5  ,      39
 4193.9  ,      35
 4218.3  ,      29
 4242.7  ,      30
 4267.1  ,      39
 4291.5  ,      37
 4315.9  ,      26
 4340.3  ,      47
 4364.7  ,      58
 4389.1  ,      54
 4413.5  ,      80
 4437.9  ,     100
 4462.3  ,     140
 4486.7  ,     133
 4511.1  ,     120
 4535.5  ,     132
 4559.9  ,     125
 4584.2  ,     111
 4608.6  ,      91
 4633.0  ,      60
 4657.4  ,      61
 4681.8  ,      56
 4706.2  ,      43
 4730.6  ,      38
 4755.0  ,      39
 4779.4  ,      42
 4803.8  ,      44
 4828.2  ,      32
 4852.6  ,      38
 4877.0  ,      43
 4901.4  ,      37
 4925.8  ,      54
 4950.2  ,      47
 4974.6  ,      41
 4999.0  ,      35
 5023.3  ,      36
 5047.7  ,      39
 5072.1  ,      34
 5096.5  ,      36
 5120.9  ,      32
 5145.3  ,      36
 5169.7  ,      37
 5194.1  ,      28
 5218.5  ,      34
 5242.9  ,      48
 5267.3  ,      68
 5291.7  ,      54
 5316.1  ,      65
 5340.5  ,      91
 5364.9  ,      91
 5389.3  ,     112
 5413.7  ,     102
 5438.0  ,      73
 5462.4  ,      84
 5486.8  ,      62
 5511.2  ,      56
 5535.6  ,      56
 5560.0  ,      45
 5584.4  ,      46
 5608.8  ,      55
 5633.2  ,      54
 5657.6  ,      68
 5682.0  ,      76
 5706.4  ,     122
 5730.8  ,     175
 5755.2  ,     266
 5779.6  ,     402
 5804.0  ,     539
 5828.4  ,     653
 5852.8  ,     748
 5877.1  ,     817
 5901.5  ,     761
 5925.9  ,     663
 5950.3  ,     522
 5974.7  ,     432
 5999.1  ,     319
 6023.5  ,     184
 6047.9  ,     152
 6072.3  ,     120
 6096.7  ,     151
 6121.1  ,     183
 6145.5  ,     255
 6169.9  ,     424
 6194.3  ,     588
 6218.7  ,     929
 6243.1  ,    1581
 6267.5  ,    2538
 6291.9  ,    3668
 6316.2  ,    5028
 6340.6  ,    6176
 6365.0  ,    6895
 6389.4  ,    7028
 6413.8  ,    6617
 6438.2  ,    5542
 6462.6  ,    4084
 6487.0  ,    2915
 6511.4  ,    1753
 6535.8  ,     999
 6560.2  ,     574
 6584.6  ,     282
 6609.0  ,     120
 6633.4  ,      71
 6657.8  ,      71
 6682.2  ,      38
 6706.6  ,      44
 6730.9  ,      55
 6755.3  ,      52
 6779.7  ,      80
 6804.1  ,      78
 6828.5  ,      97
 6852.9  ,     158
 6877.3  ,     221
 6901.7  ,     298
 6926.1  ,     457
 6950.5  ,     598
 6974.9  ,     805
 6999.3  ,     953
 7023.7  ,    1074
 7048.1  ,    1008
 7072.5  ,     944
 7096.9  ,     849
 7121.3  ,     589
 7145.7  ,     431
 7170.0  ,     284
 7194.4  ,     152
 7218.8  ,      82
 7243.2  ,      54
 7267.6  ,      30
 7292.0  ,      21
 7316.4  ,      28
 7340.8  ,      29
 7365.2  ,      30
 7389.6  ,      40
 7414.0  ,      45
 7438.4  ,      47
 7462.8  ,      52
 7487.2  ,      40
 7511.6  ,      45
 7536.0  ,      38
 7560.4  ,      23
 7584.8  ,      32
 7609.1  ,      15
 7633.5  ,      14
 7657.9  ,      13
 7682.3  ,      10
 7706.7  ,      13
 7731.1  ,      11
 7755.5  ,       9
 7779.9  ,      16
 7804.3  ,      13
 7828.7  ,      16
 7853.1  ,      22
 7877.5  ,      19
 7901.9  ,      24
 7926.3  ,      22
 7950.7  ,      19
 7975.1  ,      22
 7999.5  ,      25
 8023.8  ,      36
 8048.2  ,      24
 8072.6  ,      34
 8097.0  ,      23
 8121.4  ,      10
 8145.8  ,      26
 8170.2  ,      22
 8194.6  ,      17
 8219.0  ,      26
 8243.4  ,      31
 8267.8  ,      15
 8292.2  ,      28
 8316.6  ,      20
 8341.0  ,      26
 8365.4  ,      37
 8389.8  ,      41
 8414.2  ,      70
 8438.6  ,     113
 8462.9  ,     148
 8487.3  ,     212
 8511.7  ,     291
 8536.1  ,     427
 8560.5  ,     515
 8584.9  ,     587
 8609.3  ,     631
 8633.7  ,     670
 8658.1  ,     533
 8682.5  ,     477
 8706.9  ,     344
 8731.3  ,     223
 8755.7  ,     162
 8780.1  ,      85
 8804.5  ,      74
 8828.9  ,      50
 8853.3  ,      24
 8877.6  ,      12
 8902.0  ,      19
 8926.4  ,      11
 8950.8  ,      15
 8975.2  ,      18
 8999.6  ,      11
 9024.0  ,      16
 9048.4  ,       8
 9072.8  ,      14
 9097.2  ,      11
 9121.6  ,      10
 9146.0  ,      13
 9170.4  ,      17
 9194.8  ,       8
 9219.2  ,      13
 9243.6  ,      14
 9268.0  ,      22
 9292.4  ,      13
 9316.7  ,      14
 9341.1  ,      29
 9365.5  ,      30
 9389.9  ,      33
 9414.3  ,      45
 9438.7  ,      47
 9463.1  ,      72
 9487.5  ,      95
 9511.9  ,      83
 9536.3  ,      98
 9560.7  ,     121
 9585.1  ,      95
 9609.5  ,     103
 9633.9  ,      71
 9658.3  ,      62
 9682.7  ,      44
 9707.1  ,      34
 9731.5  ,      35
 9755.8  ,      18
 9780.2  ,      17
 9804.6  ,      19
 9829.0  ,      14
 9853.4  ,      21
 9877.8  ,      15
 9902.2  ,      12
 9926.6  ,      20
 9951.0  ,      24
 9975.4  ,       7
 9999.8  ,      24
10024.2  ,      15
10048.6  ,      11
10073.0  ,      10
10097.4  ,       8
10121.8  ,      10
10146.2  ,       9
10170.5  ,      12
10194.9  ,      14
10219.3  ,       9
10243.7  ,      14
10268.1  ,       8
10292.5  ,       5
10316.9  ,      10
10341.3  ,       8
10365.7  ,      15
10390.1  ,      11
10414.5  ,      14
10438.9  ,       9
10463.3  ,      17
10487.7  ,       3
10512.1  ,      16
10536.5  ,      15
10560.9  ,      14
10585.3  ,       8
10609.6  ,       9
10634.0  ,      12
10658.4  ,      14
10682.8  ,      17
10707.2  ,      20
10731.6  ,      11
10756.0  ,       8
10780.4  ,      14
10804.8  ,      10
10829.2  ,      13
10853.6  ,      17
10878.0  ,      12
10902.4  ,      11
10926.8  ,       7
10951.2  ,      14
10975.6  ,      11
11000.0  ,      13
11024.4  ,      25
11048.7  ,      12
11073.1  ,       7
11097.5  ,      10
11121.9  ,      13
11146.3  ,      11
11170.7  ,      11
11195.1  ,      17
11219.5  ,      20
11243.9  ,       9
11268.3  ,       7
11292.7  ,      12
11317.1  ,      11
11341.5  ,      14
11365.9  ,      13
11390.3  ,      11
11414.7  ,      20
11439.1  ,      30
11463.4  ,      25
11487.8  ,      18
11512.2  ,      30
11536.6  ,      21
11561.0  ,      34
11585.4  ,      43
11609.8  ,      45
11634.2  ,      37
11658.6  ,      51
11683.0  ,      51
11707.4  ,      88
11731.8  ,     103
11756.2  ,     131
11780.6  ,     196
11805.0  ,     258
11829.4  ,     293
11853.8  ,     359
11878.2  ,     360
11902.5  ,     376
11926.9  ,     352
11951.3  ,     347
11975.7  ,     298
12000.1  ,     222
12024.5  ,     162
12048.9  ,     112
12073.3  ,      95
12097.7  ,      43
12122.1  ,      49
12146.5  ,      36
12170.9  ,      36
12195.3  ,      24
12219.7  ,      20
12244.1  ,      20
12268.5  ,      24
12292.9  ,      19
12317.3  ,      12
12341.6  ,      19
12366.0  ,      20
12390.4  ,      18
12414.8  ,      13
12439.2  ,      19
12463.6  ,      16
12488.0  ,      27
12512.4  ,      20
12536.8  ,      15
12561.2  ,      13
12585.6  ,      20
12610.0  ,      18
12634.4  ,      24
12658.8  ,      22
12683.2  ,      18
12707.6  ,      20
12732.0  ,      21
12756.3  ,      28
12780.7  ,      16
12805.1  ,      19
12829.5  ,      28
12853.9  ,      32
12878.3  ,      34
12902.7  ,      30
12927.1  ,      41
12951.5  ,      41
12975.9  ,      40
13000.3  ,      33
13024.7  ,      46
13049.1  ,      47
13073.5  ,      47
13097.9  ,      58
13122.3  ,      54
13146.7  ,      89
13171.1  ,      94
13195.4  ,      99
13219.8  ,     120
13244.2  ,     138
13268.6  ,     159
13293.0  ,     165
13317.4  ,     153
13341.8  ,     203
13366.2  ,     151
13390.6  ,     162
13415.0  ,     191
13439.4  ,     179
13463.8  ,     149
13488.2  ,     189
13512.6  ,     149
13537.0  ,     153
13561.4  ,     157
13585.8  ,     128
13610.2  ,     129
13634.5  ,     137
13658.9  ,     125
13683.3  ,     102
13707.7  ,      89
13732.1  ,      99
13756.5  ,      97
13780.9  ,      74
13805.3  ,      68
13829.7  ,      71
13854.1  ,      63
13878.5  ,      67
13902.9  ,      68
13927.3  ,      56
13951.7  ,      59
13976.1  ,      83
14000.5  ,      76
14024.9  ,      86
14049.2  ,      92
14073.6  ,      98
14098.0  ,     119
14122.4  ,     160
14146.8  ,     163
14171.2  ,     203
14195.6  ,     215
14220.0  ,     212
14244.4  ,     249
14268.8  ,     247
14293.2  ,     234
14317.6  ,     204
14342.0  ,     182
14366.4  ,     145
14390.8  ,     130
14415.2  ,     100
14439.6  ,      76
14464.0  ,      42
14488.3  ,      33
14512.7  ,      27
14537.1  ,      17
14561.5  ,      23
14585.9  ,      21
14610.3  ,      11
14634.7  ,      16
14659.1  ,      12
14683.5  ,      12
14707.9  ,      16
14732.3  ,      17
14756.7  ,      17
14781.1  ,      12
14805.5  ,      17
14829.9  ,      22
14854.3  ,      17
14878.7  ,      21
14903.0  ,      21
14927.4  ,      25
14951.8  ,      23
14976.2  ,      12
15000.6  ,      27
15025.0  ,      22
15049.4  ,      26
15073.8  ,      19
15098.2  ,      18
15122.6  ,      26
15147.0  ,      22
15171.4  ,      25
15195.8  ,      18
15220.2  ,      31
15244.6  ,      21
15269.0  ,      25
15293.4  ,      29
15317.8  ,      30
15342.1  ,      31
15366.5  ,      29
15390.9  ,      25
15415.3  ,      43
15439.7  ,      51
15464.1  ,      54
15488.5  ,      52
15512.9  ,      52
15537.3  ,      73
15561.7  ,      96
15586.1  ,     115
15610.5  ,     127
15634.9  ,     138
15659.3  ,     200
15683.7  ,     200
15708.1  ,     227
15732.5  ,     231
15756.9  ,     247
15781.2  ,     215
15805.6  ,     247
15830.0  ,     220
15854.4  ,     185
15878.8  ,     163
15903.2  ,     109
15927.6  ,     109
15952.0  ,      82
15976.4  ,      65
16000.8  ,      66
16025.2  ,      68
16049.6  ,      66
16074.0  ,      58
16098.4  ,      62
16122.8  ,      45
16147.2  ,      66
16171.6  ,      51
16195.9  ,      65
16220.3  ,      69
16244.7  ,      63
16269.1  ,      94
16293.5  ,      71
16317.9  ,      76
16342.3  ,      99
16366.7  ,      77
16391.1  ,      95
16415.5  ,      81
16439.9  ,      72
16464.3  ,      77
16488.7  ,      65
16513.1  ,      61
16537.5  ,      82
16561.9  ,      60
16586.3  ,      69
16610.7  ,      76
16635.0  ,      73
16659.4  ,      81
16683.8  ,      87
16708.2  ,      90
16732.6  ,     107
16757.0  ,     101
16781.4  ,     109
16805.8  ,     123
16830.2  ,     132
16854.6  ,     122
16879.0  ,     144
16903.4  ,     137
16927.8  ,     151
16952.2  ,     163
16976.6  ,     173
17001.0  ,     168
17025.4  ,     175
17049.8  ,     167
17074.1  ,     166
17098.5  ,     183
17122.9  ,     196
17147.3  ,     178
17171.7  ,     207
17196.1  ,     202
17220.5  ,     194
17244.9  ,     187
17269.3  ,     174
17293.7  ,     194
17318.1  ,     153
17342.5  ,     137
17366.9  ,     118
17391.3  ,     125
17415.7  ,     122
17440.1  ,     107
17464.5  ,      90
17488.8  ,      89
17513.2  ,      87
17537.6  ,      68
17562.0  ,      80
17586.4  ,      87
17610.8  ,      87
17635.2  ,      88
17659.6  ,     102
17684.0  ,      86
17708.4  ,      65
17732.8  ,      76
17757.2  ,      50
17781.6  ,      58
17806.0  ,      46
17830.4  ,      56
17854.8  ,      44
17879.2  ,      49
17903.6  ,      36
17927.9  ,      38
17952.3  ,      43
17976.7  ,      40
18001.1  ,      42
18025.5  ,      31
18049.9  ,      53
18074.3  ,      56
18098.7  ,      57
18123.1  ,      49
18147.5  ,      85
18171.9  ,     103
18196.3  ,     109
18220.7  ,     137
18245.1  ,     174
18269.5  ,     171
18293.9  ,     167
18318.3  ,     169
18342.7  ,     165
18367.0  ,     141
18391.4  ,     138
18415.8  ,     106
18440.2  ,      78
18464.6  ,      71
18489.0  ,      47
18513.4  ,      37
18537.8  ,      21
18562.2  ,      17
18586.6  ,      18
18611.0  ,      20
18635.4  ,      11
18659.8  ,       7
18684.2  ,      10
18708.6  ,      12
18733.0  ,       8
18757.4  ,      20
18781.7  ,      17
18806.1  ,      13
18830.5  ,      13
18854.9  ,      18
18879.3  ,      11
18903.7  ,      11
18928.1  ,      14
18952.5  ,      14
18976.9  ,      15
19001.3  ,      15
19025.7  ,      10
19050.1  ,      10
19074.5  ,      15
19098.9  ,      15
19123.3  ,      12
19147.7  ,      14
19172.1  ,      19
19196.5  ,      12
19220.8  ,      20
19245.2  ,      20
19269.6  ,      26
19294.0  ,      18
19318.4  ,      18
19342.8  ,      21
19367.2  ,      23
19391.6  ,      33
19416.0  ,      18
19440.4  ,      15
19464.8  ,      29
19489.2  ,      31
19513.6  ,      27
19538.0  ,      43
19562.4  ,      36
19586.8  ,      39
19611.2  ,      43
19635.5  ,      43
19659.9  ,      45
19684.3  ,      32
19708.7  ,      48
19733.1  ,      47
19757.5  ,      37
19781.9  ,      44
19806.3  ,      46
19830.7  ,      53
19855.1  ,      49
19879.5  ,      32
19903.9  ,      44
19928.3  ,      30
19952.7  ,      41
19977.1  ,      37
20001.5  ,      39
20025.9  ,      44
20050.3  ,      28
20074.6  ,      31
20099.0  ,      29
20123.4  ,      36
20147.8  ,      34
20172.2  ,      35
20196.6  ,      24
20221.0  ,      33
20245.4  ,      37
20269.8  ,      29
20294.2  ,      32
20318.6  ,      22
20343.0  ,      26
20367.4  ,      29
20391.8  ,      23
20416.2  ,      23
20440.6  ,      19
20465.0  ,      20
20489.4  ,      19
20513.7  ,      23
20538.1  ,      13
20562.5  ,      19
20586.9  ,      10
20611.3  ,      15
20635.7  ,      17
20660.1  ,      16
20684.5  ,      20
20708.9  ,      12
20733.3  ,      21
20757.7  ,      13
20782.1  ,      13
20806.5  ,      16
20830.9  ,      12
20855.3  ,      12
20879.7  ,      13
20904.1  ,      12
20928.4  ,      11
20952.8  ,      15
20977.2  ,       9
21001.6  ,      19
21026.0  ,      14
21050.4  ,      10
21074.8  ,       9
21099.2  ,      11
21123.6  ,       9
21148.0  ,      10
21172.4  ,       6
21196.8  ,       9
21221.2  ,      12
21245.6  ,      17
21270.0  ,      25
21294.4  ,      26
21318.8  ,      19
21343.2  ,      26
21367.5  ,      42
21391.9  ,      29
21416.3  ,      37
21440.7  ,      35
21465.1  ,      37
21489.5  ,      29
21513.9  ,      35
21538.3  ,      24
21562.7  ,      23
21587.1  ,      17
21611.5  ,      12
21635.9  ,      15
21660.3  ,      10
21684.7  ,      11
21709.1  ,      11
21733.5  ,      10
21757.9  ,       4
21782.3  ,       8
21806.6  ,       4
21831.0  ,       7
21855.4  ,       9
21879.8  ,       5
21904.2  ,       3
21928.6  ,       6
21953.0  ,       3
21977.4  ,       6
22001.8  ,       7
22026.2  ,      15
22050.6  ,      10
22075.0  ,       6
22099.4  ,       6
22123.8  ,      12
22148.2  ,      15
